date,exp_5yr_cpi
1968-10-01,
1969-01-01,
1969-04-01,
1969-07-01,
1969-10-01,
1970-01-01,
1970-04-01,
1970-07-01,
1970-10-01,
1971-01-01,
1971-04-01,
1971-07-01,
1971-10-01,
1972-01-01,
1972-04-01,
1972-07-01,
1972-10-01,
1973-01-01,
1973-04-01,
1973-07-01,
1973-10-01,
1974-01-01,
1974-04-01,
1974-07-01,
1974-10-01,
1975-01-01,
1975-04-01,
1975-07-01,
1975-10-01,
1976-01-01,
1976-04-01,
1976-07-01,
1976-10-01,
1977-01-01,
1977-04-01,
1977-07-01,
1977-10-01,
1978-01-01,
1978-04-01,
1978-07-01,
1978-10-01,
1979-01-01,
1979-04-01,
1979-07-01,
1979-10-01,
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,
1990-04-01,
1990-07-01,
1990-10-01,
1991-01-01,
1991-04-01,
1991-07-01,
1991-10-01,
1992-01-01,
1992-04-01,
1992-07-01,
1992-10-01,
1993-01-01,
1993-04-01,
1993-07-01,
1993-10-01,
1994-01-01,
1994-04-01,
1994-07-01,
1994-10-01,
1995-01-01,
1995-04-01,
1995-07-01,
1995-10-01,
1996-01-01,
1996-04-01,
1996-07-01,
1996-10-01,
1997-01-01,
1997-04-01,
1997-07-01,
1997-10-01,
1998-01-01,
1998-04-01,
1998-07-01,
1998-10-01,
1999-01-01,
1999-04-01,
1999-07-01,
1999-10-01,
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,2.649
2005-10-01,2.6891
2006-01-01,2.5268
2006-04-01,2.5578
2006-07-01,2.7508
2006-10-01,2.7051
2007-01-01,2.4467
2007-04-01,2.5063
2007-07-01,2.4848
2007-10-01,2.5588
2008-01-01,2.5546
2008-04-01,2.6916
2008-07-01,2.6479
2008-10-01,2.5672
2009-01-01,2.1015
2009-04-01,2.0749
2009-07-01,2.2815
2009-10-01,1.9451
2010-01-01,2.1226
2010-04-01,2.1578
2010-07-01,1.9165
2010-10-01,1.9279
2011-01-01,2.0764
2011-04-01,2.4452
2011-07-01,2.4095
2011-10-01,2.4499
2012-01-01,2.324
2012-04-01,2.3208
2012-07-01,2.2784
2012-10-01,2.259
2013-01-01,2.2447
2013-04-01,2.1604
2013-07-01,2.0674
2013-10-01,2.0932
2014-01-01,2.1385
2014-04-01,2.1599
2014-07-01,2.2316
2014-10-01,2.0825
2015-01-01,2.0321
2015-04-01,2.0005
2015-07-01,2.043
2015-10-01,1.9208
2016-01-01,2.0911
2016-04-01,2.0867
2016-07-01,2.1222
2016-10-01,2.1359
2017-01-01,2.4236
2017-04-01,2.3867
2017-07-01,2.2069
2017-10-01,2.1679
2018-01-01,2.2794
2018-04-01,2.3574
2018-07-01,2.3063
2018-10-01,2.2909
2019-01-01,2.1828
2019-04-01,2.1309
2019-07-01,2.1033
2019-10-01,2.1393
2020-01-01,2.2178
2020-04-01,1.8761
2020-07-01,1.8829
2020-10-01,1.9811
2021-01-01,2.2144
2021-04-01,2.4445
2021-07-01,2.7574
2021-10-01,2.98
2022-01-01,2.7698
2022-04-01,3.3885
2022-07-01,3.6234
2022-10-01,3.8948
2023-01-01,2.6546
2023-04-01,2.6058
2023-07-01,2.6826
2023-10-01,2.6248
2024-01-01,2.3348
2024-04-01,2.6
2024-07-01,2.3876
2024-10-01,2.383
2025-01-01,2.4846
2025-04-01,2.5847
2025-07-01,2.5416
2025-10-01,2.534
2026-01-01,2.4437
