column,missing_count,missing_pct,non_null_count
eci_total,216,68.35,100
eci_wages,216,68.35,100
output_per_hour,212,67.09,104
unit_labor_costs,212,67.09,104
phl_cpi_CPI15Q1,136,43.04,180
phl_ruc_RUC15Q1,135,42.72,181
phl_cpi_CPI15Q2,133,42.09,183
phl_ruc_RUC15Q2,132,41.77,184
phl_cpi_CPI15Q3,130,41.14,186
phl_ruc_RUC15Q3,129,40.82,187
phl_cpi_CPI15Q4,127,40.19,189
phl_ruc_RUC15Q4,126,39.87,190
phl_cpi_CPI16Q1,124,39.24,192
phl_ruc_RUC16Q1,123,38.92,193
phl_cpi_CPI16Q2,121,38.29,195
phl_ruc_RUC16Q2,120,37.97,196
phl_cpi_CPI16Q3,118,37.34,198
phl_ruc_RUC16Q3,117,37.03,199
phl_cpi_CPI16Q4,115,36.39,201
phl_ruc_RUC16Q4,114,36.08,202
phl_cpi_CPI17Q1,111,35.13,205
phl_ruc_RUC17Q1,111,35.13,205
phl_ruc_RUC17Q2,108,34.18,208
phl_cpi_CPI17Q2,108,34.18,208
phl_ruc_RUC17Q3,105,33.23,211
phl_cpi_CPI17Q3,105,33.23,211
phl_ruc_RUC17Q4,102,32.28,214
phl_cpi_CPI17Q4,102,32.28,214
phl_ruc_RUC18Q1,99,31.33,217
phl_cpi_CPI18Q1,99,31.33,217
phl_cpi_CPI18Q2,96,30.38,220
phl_ruc_RUC18Q2,96,30.38,220
phl_ruc_RUC18Q3,93,29.43,223
phl_cpi_CPI18Q3,93,29.43,223
phl_ruc_RUC18Q4,90,28.48,226
phl_cpi_CPI18Q4,90,28.48,226
phl_ruc_RUC19Q1,87,27.53,229
phl_cpi_CPI19Q1,87,27.53,229
phl_ruc_RUC19Q2,84,26.58,232
phl_cpi_CPI19Q2,84,26.58,232
phl_ruc_RUC19Q3,81,25.63,235
phl_cpi_CPI19Q3,81,25.63,235
phl_cpi_CPI19Q4,78,24.68,238
phl_ruc_RUC19Q4,78,24.68,238
awe_private,75,23.73,241
awh_private,75,23.73,241
ahe_manufacturing,75,23.73,241
ahe_private,75,23.73,241
breakeven_10y,36,11.39,280
breakeven_5y,36,11.39,280
forward_5y5y,36,11.39,280
treasury_1m,18,5.7,298
job_openings_level,13,4.11,303
hires_rate,13,4.11,303
hires_level,13,4.11,303
quits_rate,13,4.11,303
quits_level,13,4.11,303
layoffs_discharges_rate,13,4.11,303
layoffs_discharges_level,13,4.11,303
total_separations_level,13,4.11,303
total_separations_rate,13,4.11,303
kcfed_lmci_activity,3,0.95,313
building_permits,3,0.95,313
new_home_sales,3,0.95,313
real_retail,3,0.95,313
kcfed_lmci_momentum,3,0.95,313
housing_starts,3,0.95,313
atl_..7,2,0.63,314
atl_..8,2,0.63,314
atl_..9,2,0.63,314
atl_..12,2,0.63,314
atl_..11,2,0.63,314
atl_..10,2,0.63,314
atl_..15,2,0.63,314
atl_..13,2,0.63,314
atl_..14,2,0.63,314
atl_..5,2,0.63,314
epop_ratio,2,0.63,314
lfpr,2,0.63,314
prime_age_lfpr,2,0.63,314
u6_rate,2,0.63,314
unemployment_level,2,0.63,314
unemployment_rate,2,0.63,314
atl_..6,2,0.63,314
cpi_all,2,0.63,314
atl_..4,2,0.63,314
atl_..3,2,0.63,314
cpi_less_shelter,2,0.63,314
cpi_services_less_rent,2,0.63,314
cpi_services_less_energy,2,0.63,314
cpi_shelter,2,0.63,314
cpi_medical,2,0.63,314
cpi_food,2,0.63,314
pce_price,2,0.63,314
pce_core,2,0.63,314
pce_trimmed_12m,2,0.63,314
pce_trimmed_1m,2,0.63,314
pce_services,2,0.63,314
saving_rate,2,0.63,314
real_dpi,2,0.63,314
real_pi,2,0.63,314
real_pi_less_transfers,2,0.63,314
retail_advance,2,0.63,314
ip_total,2,0.63,314
ip_manufacturing,2,0.63,314
capacity_util,2,0.63,314
consumer_sentiment,2,0.63,314
durable_orders,2,0.63,314
capex_orders,2,0.63,314
m2,2,0.63,314
cpi_core,2,0.63,314
avg_weeks_unemployed,2,0.63,314
prime_age_urate,2,0.63,314
atl_.,2,0.63,314
atl_..1,2,0.63,314
atl_..2,2,0.63,314
michigan_1y,2,0.63,314
baa_yield,1,0.32,315
recession,1,0.32,315
payrolls_construction,1,0.32,315
payrolls_nonfarm,1,0.32,315
aaa_yield,1,0.32,315
fed_funds,1,0.32,315
treasury_10y,1,0.32,315
payrolls_private,1,0.32,315
payrolls_manufacturing,1,0.32,315
payrolls_services,1,0.32,315
ci_loans,1,0.32,315
awe_manufacturing,1,0.32,315
bank_credit,0,0.0,316
bbb_oas,0,0.0,316
treasury_3m,0,0.0,316
treasury_2y,0,0.0,316
hy_oas,0,0.0,316
date,0,0.0,316
