col,data_type,non_null_count,null_count,unique_count,min_value,max_value
aaa_yield,float64,315,1,227,2.14,7.99
ahe_manufacturing,float64,241,75,226,20.71,36.59
ahe_private,float64,241,75,233,20.04,37.38
atl_.,float64,314,2,47,1.6,6.7
atl_..1,float64,314,2,48,1.7,6.6
atl_..10,float64,314,2,53,1.6,7.1
atl_..11,float64,314,2,54,1.7,7.9
atl_..12,float64,314,2,56,1.0,7.0
atl_..13,float64,314,2,48,1.7,6.8
atl_..14,float64,314,2,57,1.3,8.5
atl_..15,float64,314,2,45,1.5,6.3
atl_..2,float64,314,2,47,1.7,6.8
atl_..3,float64,314,2,48,1.5,6.7
atl_..4,float64,314,2,51,1.7,7.2
atl_..5,float64,314,2,47,1.5,6.5
atl_..6,float64,314,2,54,1.4,7.1
atl_..7,float64,314,2,45,1.3,6.1
atl_..8,float64,314,2,64,1.2,8.5
atl_..9,float64,314,2,53,1.5,7.1
avg_weeks_unemployed,float64,314,2,170,7.2,40.7
awe_manufacturing,float64,315,1,285,14.12,29.95
awe_private,float64,241,75,236,685.37,1279.05
awh_private,float64,241,75,14,33.7,35.0
baa_yield,float64,315,1,233,3.16,9.21
bank_credit,float64,316,0,316,4535.6747,19424.2683
bbb_oas,float64,316,0,312,0.9677272727272728,7.885454545454545
breakeven_10y,float64,280,36,277,0.2463636363636363,2.884
breakeven_5y,float64,280,36,278,-1.3988888888888888,3.4108695652173915
building_permits,float64,313,3,277,513.0,2263.0
capacity_util,float64,314,2,314,62.5589,81.0265
capex_orders,float64,314,2,313,47096.0,79532.0
ci_loans,float64,315,1,315,862.6995,3035.7977
consumer_sentiment,float64,314,2,232,50.0,112.0
cpi_all,float64,314,2,304,169.3,330.293
cpi_core,float64,314,2,311,179.3,334.165
cpi_food,float64,314,2,307,165.6,346.622
cpi_less_shelter,float64,314,2,301,162.8,297.209
cpi_medical,float64,314,2,314,255.6,592.554
cpi_services_less_energy,float64,314,2,314,199.2,440.951
cpi_services_less_rent,float64,314,2,308,198.6,442.058
cpi_shelter,float64,314,2,314,180.9,442.705
date,datetime64[us],316,0,316,,
durable_orders,float64,314,2,314,146323.0,344069.0
eci_total,float64,298,18,100,84.7,174.038
eci_wages,float64,298,18,100,87.6,176.233
epop_ratio,float64,314,2,69,51.2,64.7
fed_funds,float64,315,1,152,0.05,6.54
forward_5y5y,float64,280,36,275,0.7327272727272728,2.8757894736842107
hires_level,float64,303,13,283,3639.0,8133.0
hires_rate,float64,303,13,21,2.8,6.1
housing_starts,float64,313,3,287,478.0,2273.0
hy_oas,float64,316,0,315,2.5713636363636363,20.309545454545457
ip_manufacturing,float64,314,2,314,79.8587,106.6125
ip_total,float64,314,2,313,84.5619,104.1004
job_openings_level,float64,303,13,299,2232.0,12301.0
kcfed_lmci_activity,float64,313,3,313,-2.43195,1.52534
kcfed_lmci_momentum,float64,313,3,313,-11.28966,2.69924
layoffs_discharges_level,float64,303,13,240,1312.0,12985.0
layoffs_discharges_rate,float64,303,13,14,0.9,8.6
lfpr,float64,314,2,59,60.1,67.3
m2,float64,314,2,314,4667.6,22667.3
michigan_1y,float64,314,2,40,0.4,6.6
new_home_sales,float64,313,3,253,270.0,1389.0
output_per_hour,float64,310,6,104,71.222,119.338
payrolls_construction,float64,315,1,288,5427.0,8330.0
payrolls_manufacturing,float64,315,1,298,11382.0,17322.0
payrolls_nonfarm,float64,315,1,312,129706.0,158637.0
payrolls_private,float64,315,1,313,107230.0,135320.0
payrolls_services,float64,315,1,311,106382.0,137113.0
pce_core,float64,314,2,313,74.306,128.859
pce_price,float64,314,2,310,72.961,129.449
pce_services,float64,314,2,313,64.396,135.473
pce_trimmed_12m,float64,314,2,162,0.8,5.01
pce_trimmed_1m,float64,314,2,196,0.3,7.15
phl_cpi_CPI15Q1,float64,180,136,173,169.3,237.909
phl_cpi_CPI15Q2,float64,183,133,176,169.3,237.753
phl_cpi_CPI15Q3,float64,186,130,179,169.3,237.786
phl_cpi_CPI15Q4,float64,189,127,182,169.3,238.099
phl_cpi_CPI16Q1,float64,192,124,185,169.3,238.111
phl_cpi_CPI16Q2,float64,195,121,187,169.3,238.302
phl_cpi_CPI16Q3,float64,198,118,190,169.3,239.927
phl_cpi_CPI16Q4,float64,201,115,193,169.3,241.002
