col,missing_count,missing_pct,non_null_count,data_type
phl_cpi_CPI15Q1,136,43.04,180,float64
phl_ruc_RUC15Q1,135,42.72,181,float64
phl_cpi_CPI15Q2,133,42.09,183,float64
phl_ruc_RUC15Q2,132,41.77,184,float64
phl_cpi_CPI15Q3,130,41.14,186,float64
phl_ruc_RUC15Q3,129,40.82,187,float64
phl_cpi_CPI15Q4,127,40.19,189,float64
phl_ruc_RUC15Q4,126,39.87,190,float64
phl_cpi_CPI16Q1,124,39.24,192,float64
phl_ruc_RUC16Q1,123,38.92,193,float64
phl_cpi_CPI16Q2,121,38.29,195,float64
phl_ruc_RUC16Q2,120,37.97,196,float64
phl_cpi_CPI16Q3,118,37.34,198,float64
phl_ruc_RUC16Q3,117,37.03,199,float64
phl_cpi_CPI16Q4,115,36.39,201,float64
phl_ruc_RUC16Q4,114,36.08,202,float64
phl_cpi_CPI17Q1,111,35.13,205,float64
phl_ruc_RUC17Q1,111,35.13,205,float64
phl_cpi_CPI17Q2,108,34.18,208,float64
phl_ruc_RUC17Q2,108,34.18,208,float64
phl_cpi_CPI17Q3,105,33.23,211,float64
phl_ruc_RUC17Q3,105,33.23,211,float64
phl_cpi_CPI17Q4,102,32.28,214,float64
phl_ruc_RUC17Q4,102,32.28,214,float64
phl_cpi_CPI18Q1,99,31.33,217,float64
phl_ruc_RUC18Q1,99,31.33,217,float64
phl_cpi_CPI18Q2,96,30.38,220,float64
phl_ruc_RUC18Q2,96,30.38,220,float64
phl_cpi_CPI18Q3,93,29.43,223,float64
phl_ruc_RUC18Q3,93,29.43,223,float64
phl_cpi_CPI18Q4,90,28.48,226,float64
phl_ruc_RUC18Q4,90,28.48,226,float64
phl_cpi_CPI19Q1,87,27.53,229,float64
phl_ruc_RUC19Q1,87,27.53,229,float64
phl_cpi_CPI19Q2,84,26.58,232,float64
phl_ruc_RUC19Q2,84,26.58,232,float64
phl_cpi_CPI19Q3,81,25.63,235,float64
phl_ruc_RUC19Q3,81,25.63,235,float64
phl_cpi_CPI19Q4,78,24.68,238,float64
phl_ruc_RUC19Q4,78,24.68,238,float64
ahe_manufacturing,75,23.73,241,float64
ahe_private,75,23.73,241,float64
awe_private,75,23.73,241,float64
awh_private,75,23.73,241,float64
breakeven_10y,36,11.39,280,float64
breakeven_5y,36,11.39,280,float64
forward_5y5y,36,11.39,280,float64
eci_total,18,5.7,298,float64
eci_wages,18,5.7,298,float64
treasury_1m,18,5.7,298,float64
hires_level,13,4.11,303,float64
hires_rate,13,4.11,303,float64
job_openings_level,13,4.11,303,float64
layoffs_discharges_level,13,4.11,303,float64
layoffs_discharges_rate,13,4.11,303,float64
quits_level,13,4.11,303,float64
quits_rate,13,4.11,303,float64
total_separations_level,13,4.11,303,float64
total_separations_rate,13,4.11,303,float64
output_per_hour,6,1.9,310,float64
unit_labor_costs,6,1.9,310,float64
building_permits,3,0.95,313,float64
housing_starts,3,0.95,313,float64
kcfed_lmci_activity,3,0.95,313,float64
kcfed_lmci_momentum,3,0.95,313,float64
new_home_sales,3,0.95,313,float64
real_retail,3,0.95,313,float64
atl_.,2,0.63,314,float64
atl_..1,2,0.63,314,float64
atl_..10,2,0.63,314,float64
atl_..11,2,0.63,314,float64
atl_..12,2,0.63,314,float64
atl_..13,2,0.63,314,float64
atl_..14,2,0.63,314,float64
atl_..15,2,0.63,314,float64
atl_..2,2,0.63,314,float64
atl_..3,2,0.63,314,float64
atl_..4,2,0.63,314,float64
atl_..5,2,0.63,314,float64
atl_..6,2,0.63,314,float64
atl_..7,2,0.63,314,float64
atl_..8,2,0.63,314,float64
atl_..9,2,0.63,314,float64
avg_weeks_unemployed,2,0.63,314,float64
capacity_util,2,0.63,314,float64
capex_orders,2,0.63,314,float64
consumer_sentiment,2,0.63,314,float64
cpi_all,2,0.63,314,float64
cpi_core,2,0.63,314,float64
cpi_food,2,0.63,314,float64
cpi_less_shelter,2,0.63,314,float64
cpi_medical,2,0.63,314,float64
cpi_services_less_energy,2,0.63,314,float64
cpi_services_less_rent,2,0.63,314,float64
cpi_shelter,2,0.63,314,float64
durable_orders,2,0.63,314,float64
epop_ratio,2,0.63,314,float64
ip_manufacturing,2,0.63,314,float64
ip_total,2,0.63,314,float64
lfpr,2,0.63,314,float64
m2,2,0.63,314,float64
michigan_1y,2,0.63,314,float64
pce_core,2,0.63,314,float64
pce_price,2,0.63,314,float64
pce_services,2,0.63,314,float64
pce_trimmed_12m,2,0.63,314,float64
pce_trimmed_1m,2,0.63,314,float64
prime_age_lfpr,2,0.63,314,float64
prime_age_urate,2,0.63,314,float64
real_dpi,2,0.63,314,float64
real_pi,2,0.63,314,float64
real_pi_less_transfers,2,0.63,314,float64
retail_advance,2,0.63,314,float64
saving_rate,2,0.63,314,float64
u6_rate,2,0.63,314,float64
unemployment_level,2,0.63,314,float64
unemployment_rate,2,0.63,314,float64
aaa_yield,1,0.32,315,float64
awe_manufacturing,1,0.32,315,float64
baa_yield,1,0.32,315,float64
ci_loans,1,0.32,315,float64
fed_funds,1,0.32,315,float64
payrolls_construction,1,0.32,315,float64
payrolls_manufacturing,1,0.32,315,float64
payrolls_nonfarm,1,0.32,315,float64
payrolls_private,1,0.32,315,float64
payrolls_services,1,0.32,315,float64
recession,1,0.32,315,float64
treasury_10y,1,0.32,315,float64
bank_credit,0,0.0,316,float64
bbb_oas,0,0.0,316,float64
date,0,0.0,316,datetime64[us]
hy_oas,0,0.0,316,float64
treasury_2y,0,0.0,316,float64
treasury_3m,0,0.0,316,float64
