,log_jolts_ratio,unemployment_rate,quits_rate,fed_funds,consumer_sentiment,hy_oas,ahe_private_12m_pct_lag_1,cpi_all_12m_pct_lag_1,log_jolts_ratio_x_post_regime,log_jolts_ratio_x_high_inflation
log_jolts_ratio,1.0,-0.9201786942526174,0.9154418690083014,0.5433164680852852,0.14870371265745855,-0.5812802221963487,0.5827920056307316,0.544252743073469,0.5534529744510156,0.5115424680844938
unemployment_rate,-0.9201786942526174,1.0,-0.7735780145562255,-0.5941617231037362,-0.21991145677100998,0.4904536910563791,-0.37015644848113,-0.42687858141176166,-0.37001283027259707,-0.38101380208338836
quits_rate,0.9154418690083014,-0.7735780145562255,1.0,0.33213088366861193,0.14302855685299978,-0.5082039802789046,0.6376720571265694,0.6013888195806635,0.6124922766845603,0.509114936680853
fed_funds,0.5433164680852852,-0.5941617231037362,0.33213088366861193,1.0,-0.23877816004331842,-0.3453261923693898,0.4394246797121608,0.33422927683786186,0.24554154950282023,0.19261887250569684
consumer_sentiment,0.14870371265745855,-0.21991145677100998,0.14302855685299978,-0.23877816004331842,1.0,-0.28156700224981757,-0.3655594652008506,-0.4228030705712709,-0.36956647815956034,0.03823719959292852
hy_oas,-0.5812802221963487,0.4904536910563791,-0.5082039802789046,-0.3453261923693898,-0.28156700224981757,1.0,-0.1463977835275035,-0.2445272129019201,-0.16073604614845788,-0.26427140329849547
ahe_private_12m_pct_lag_1,0.5827920056307316,-0.37015644848113,0.6376720571265694,0.4394246797121608,-0.3655594652008506,-0.1463977835275035,1.0,0.48942569306207745,0.6172079038065873,0.4562275883087154
cpi_all_12m_pct_lag_1,0.544252743073469,-0.42687858141176166,0.6013888195806635,0.33422927683786186,-0.4228030705712709,-0.2445272129019201,0.48942569306207745,1.0,0.7680082907895787,0.17373507125913965
log_jolts_ratio_x_post_regime,0.5534529744510156,-0.37001283027259707,0.6124922766845603,0.24554154950282023,-0.36956647815956034,-0.16073604614845788,0.6172079038065873,0.7680082907895787,1.0,0.5533738628873839
log_jolts_ratio_x_high_inflation,0.5115424680844938,-0.38101380208338836,0.509114936680853,0.19261887250569684,0.03823719959292852,-0.26427140329849547,0.4562275883087154,0.17373507125913965,0.5533738628873839,1.0
