left_col,right_col,correlation
jolts_ratio_lag_1,jolts_ratio_mean_3,0.9976166273669221
log_jolts_ratio_lag_1,log_jolts_ratio_mean_3,0.9968319079073363
fed_funds,fed_funds_lag_1,0.9959819261130872
cpi_all_12m_pct_lag_1,cpi_all_12m_pct_mean_3,0.9956015820387565
jolts_ratio_lag_3,jolts_ratio_mean_6,0.994141312384544
jolts_ratio,jolts_ratio_mean_3,0.9929322260563406
jolts_ratio_mean_3,jolts_ratio_mean_6,0.9919705523864305
log_jolts_ratio_lag_3,log_jolts_ratio_mean_6,0.9919303696509487
post_regime,unemployment_rate_x_post_regime,0.9917735560063659
log_jolts_ratio,log_jolts_ratio_mean_3,0.9912470029181982
log_jolts_ratio_mean_3,log_jolts_ratio_mean_6,0.9912184234028125
jolts_ratio,log_jolts_x_quits,0.9911746840519504
quits_rate_mean_3,quits_rate_mean_6,0.9891211744462672
jolts_ratio_lag_6,jolts_ratio_mean_12,0.9891055040638833
jolts_ratio_lag_1,jolts_ratio_mean_6,0.9884612399384414
jolts_ratio,jolts_ratio_lag_1,0.9883359983380813
quits_rate_lag_1,quits_rate_mean_3,0.988325398913794
unemployment_rate_lag_1,unemployment_rate_mean_3,0.9880431293175351
log_jolts_ratio_lag_1,log_jolts_ratio_mean_6,0.9862801841468641
fed_funds_lag_1,fed_funds_lag_3,0.9862402382705215
post_regime,quits_rate_x_post_regime,0.9861524835034913
quits_rate_x_tight_labor,tight_labor,0.9857650933527992
log_jolts_ratio,log_jolts_ratio_lag_1,0.9850473623579026
log_jolts_ratio_lag_6,log_jolts_ratio_mean_12,0.9850450964918064
jolts_ratio_x_post_regime,quits_rate_x_post_regime,0.9845458865422051
quits_rate,quits_rate_mean_3,0.9829345386982088
jolts_ratio_mean_3,log_jolts_x_quits,0.9824279381693783
quits_rate_lag_3,quits_rate_mean_6,0.9812536558654261
log_jolts_ratio_mean_12,log_jolts_ratio_mean_6,0.981188296781953
jolts_ratio_mean_12,jolts_ratio_mean_6,0.9796294986171812
tight_labor,unemployment_rate_x_tight_labor,0.979311478944071
jolts_ratio_lag_3,jolts_ratio_mean_3,0.979213755737546
quits_rate_mean_12,quits_rate_mean_6,0.9791537324178671
cpi_all_12m_pct_lag_3,cpi_all_12m_pct_mean_6,0.9787225082312427
jolts_ratio_lag_1,log_jolts_x_quits,0.978473586399385
ahe_private_12m_pct_lag_1,ahe_private_12m_pct_mean_3,0.9771934168076207
jolts_ratio_lag_3,jolts_ratio_mean_12,0.9771550136154719
jolts_ratio,jolts_ratio_mean_6,0.9770659900966113
quits_rate_x_post_regime,unemployment_rate_x_post_regime,0.9758043568618234
quits_rate_lag_1,quits_rate_mean_6,0.9756531272565317
log_jolts_ratio_lag_3,log_jolts_ratio_mean_3,0.9753190780722949
log_jolts_ratio_lag_3,log_jolts_ratio_mean_12,0.9751275395068824
quits_rate_lag_6,quits_rate_mean_12,0.9751109651264621
log_jolts_ratio,log_jolts_ratio_mean_6,0.9748866382271814
jolts_ratio_lag_1,jolts_ratio_lag_3,0.9744475587466886
fed_funds,fed_funds_lag_3,0.9722366340860376
unemployment_rate_mean_3,unemployment_rate_mean_6,0.9721160503297385
fed_funds_lag_3,fed_funds_lag_6,0.9720627579936202
ahe_private_12m_pct_mean_3,ahe_private_12m_pct_mean_6,0.9700877683262233
quits_rate_x_tight_labor,unemployment_rate_x_tight_labor,0.9698077025896389
ahe_private_12m_pct_mean_12,ahe_private_12m_pct_mean_6,0.9697418499605698
high_inflation,quits_rate_x_high_inflation,0.9695422732558768
unemployment_rate,unemployment_rate_mean_3,0.9684914250151322
log_jolts_ratio_lag_1,log_jolts_ratio_lag_3,0.9683974383083401
log_jolts_ratio,log_jolts_x_quits,0.9681633841631807
unemployment_rate_lag_3,unemployment_rate_mean_6,0.968147505796506
cpi_all_12m_pct_mean_3,cpi_all_12m_pct_mean_6,0.9670047138138087
quits_rate,quits_rate_mean_6,0.9653244343754128
hy_oas,hy_oas_lag_1,0.9638576194765825
quits_rate_lag_3,quits_rate_mean_12,0.9635986813089059
jolts_ratio_mean_6,log_jolts_x_quits,0.9624652350034355
log_jolts_ratio_mean_3,log_jolts_x_quits,0.9613792062068788
jolts_ratio_x_tight_labor,quits_rate_x_tight_labor,0.9613224191221025
log_jolts_ratio_std_6,unemployment_rate_std_6,0.9613130672462417
quits_rate,quits_rate_lag_1,0.959880969943763
jolts_ratio_lag_6,jolts_ratio_mean_6,0.9598659710587136
jolts_ratio_x_post_regime,post_regime,0.9591241563302261
jolts_ratio,jolts_ratio_lag_3,0.958731756890029
jolts_ratio_lag_3,jolts_ratio_lag_6,0.9587148216056949
quits_rate_lag_3,quits_rate_mean_3,0.9581307406852693
log_jolts_ratio_mean_12,log_jolts_ratio_mean_3,0.9580654909633672
log_jolts_ratio_lag_6,log_jolts_ratio_mean_6,0.9575502583002359
unemployment_rate_mean_12,unemployment_rate_mean_6,0.9573137039250418
cpi_all_12m_pct_lag_1,cpi_all_12m_pct_mean_6,0.9564957015935756
log_jolts_ratio_lag_1,log_jolts_x_quits,0.9555049238972523
jolts_ratio_mean_12,jolts_ratio_mean_3,0.954782795537098
consumer_sentiment,consumer_sentiment_lag_1,0.9533793475622363
quits_rate_mean_12,quits_rate_mean_3,0.9526947497309174
unemployment_rate_lag_1,unemployment_rate_mean_6,0.9526853824481929
log_jolts_ratio_lag_1,log_jolts_ratio_mean_12,0.9524379311788586
log_jolts_ratio,log_jolts_ratio_lag_3,0.9523862500856999
log_jolts_ratio_lag_3,log_jolts_ratio_lag_6,0.9522038241314
jolts_ratio_lag_1,jolts_ratio_mean_12,0.9506352609297842
cpi_all_12m_pct_lag_6,cpi_all_12m_pct_mean_12,0.9502973753828885
