model_name,target_name,fold_name,rmse_value,mae_value,row_count
Persistence,price_target_0,1,2.3255001705890295,1.7261984094469771,48
OLS,price_target_0,1,1.0546862804906525,0.8526940715822681,48
Ridge,price_target_0,1,0.9740014584498848,0.8002795019464818,48
ElasticNet,price_target_0,1,0.7291486712490568,0.5251202091563953,48
ARIMAX,price_target_0,1,0.7781884515021562,0.5730392287507676,48
Persistence,price_target_0,2,0.8265702918218274,0.7103428763845473,48
OLS,price_target_0,2,0.8939643041271984,0.7193278018770886,48
Ridge,price_target_0,2,0.8105973872670152,0.6504230279169224,48
ElasticNet,price_target_0,2,0.7079864068104847,0.5715453243281754,48
ARIMAX,price_target_0,2,1.1353861875876714,0.879781186595174,48
Persistence,price_target_0,3,0.8473868057514327,0.7475050789283714,48
OLS,price_target_0,3,0.6629089041393978,0.567956210263612,48
Ridge,price_target_0,3,0.6974818122143408,0.5997866671014375,48
ElasticNet,price_target_0,3,0.5737841378618157,0.47890284837948077,48
ARIMAX,price_target_0,3,1.4776913844029533,1.3199991837096023,48
Persistence,price_target_0,4,1.9181549745330269,1.2962677725498288,48
OLS,price_target_0,4,0.7429489254010152,0.5558724014580548,48
Ridge,price_target_0,4,0.6926896194182929,0.5029191404164535,48
ElasticNet,price_target_0,4,0.562649280282699,0.38977753041933366,48
ARIMAX,price_target_0,4,1.0308577581771554,0.6932019407017225,48
Persistence,price_target_0,5,4.053978671591822,3.648384580828399,48
OLS,price_target_0,5,0.37500010129735106,0.3017559625452475,48
Ridge,price_target_0,5,0.39675681721542694,0.3144995944814238,48
ElasticNet,price_target_0,5,0.44631633729708264,0.347881531962457,48
ARIMAX,price_target_0,5,1.1651813338474086,0.8764364073961414,48
Persistence,price_target_12,1,1.979209149243795,1.5636004498084375,46
OLS,price_target_12,1,3.815665676296957,2.737731945971965,46
Ridge,price_target_12,1,3.2165414244640327,2.423916792424499,46
ElasticNet,price_target_12,1,2.275707908588695,1.9006713405224778,46
ARIMAX,price_target_12,1,1.706808682493051,1.3330427499748985,46
Persistence,price_target_12,2,1.2132170763038352,0.9446638825366296,46
OLS,price_target_12,2,1.0164285790459404,0.897824544354592,46
Ridge,price_target_12,2,1.3572504850744975,1.1349800323230854,46
ElasticNet,price_target_12,2,1.58065634898347,1.3139598740183849,46
ARIMAX,price_target_12,2,1.8290212982922984,1.4545298910058129,46
Persistence,price_target_12,3,0.9636099020158501,0.7840976835474617,46
OLS,price_target_12,3,1.4337531096474063,1.2149003128210254,46
Ridge,price_target_12,3,1.4307546974481484,1.198963444942659,46
ElasticNet,price_target_12,3,1.7125442112904221,1.528828982393799,46
ARIMAX,price_target_12,3,1.3229342748879231,1.16516144432834,46
Persistence,price_target_12,4,2.1937472323983958,1.719492641798927,46
OLS,price_target_12,4,2.6759558960673724,1.6475226468786741,46
Ridge,price_target_12,4,2.7159767237909205,1.650584141660174,46
ElasticNet,price_target_12,4,2.823563725300886,1.7376549547761162,46
ARIMAX,price_target_12,4,2.4212817613379367,1.4764644015494774,46
Persistence,price_target_12,5,4.383994905729363,4.003517057451771,46
OLS,price_target_12,5,3.7239935645465927,3.6010971984472473,46
Ridge,price_target_12,5,3.6014667282665735,3.468469899743665,46
ElasticNet,price_target_12,5,2.5116497574963765,2.2583692463211644,46
ARIMAX,price_target_12,5,4.311880601831557,3.8301047418476064,46
Persistence,price_target_3,1,2.699973246599611,2.111339719573666,47
OLS,price_target_3,1,3.5970012463500196,2.651442805034317,47
Ridge,price_target_3,1,3.104524491688646,2.3286894039016786,47
ElasticNet,price_target_3,1,2.29953172127576,1.7332472991861205,47
ARIMAX,price_target_3,1,6.298429664944395,4.620569614281297,47
Persistence,price_target_3,2,1.2180921440930226,0.9157472054606303,47
OLS,price_target_3,2,1.9867041541219255,1.6296424808731045,47
Ridge,price_target_3,2,1.620330900846844,1.3803054384741555,47
