model_name,target_name,split_name,rmse_value,mae_value,row_count
Persistence,price_target_0,fold_1,2.2825429500775547,1.671768968753871,44
ElasticNet,price_target_0,fold_1,0.49899719429953954,0.36016117657335206,44
ElasticTuned,price_target_0,fold_1,0.6620563840554988,0.5148959763993678,44
Ridge,price_target_0,fold_1,1.031230823259571,0.8543122468275179,44
OLS,price_target_0,fold_1,1.5118824981544163,1.2296896583891184,44
SARIMAX,price_target_0,fold_1,0.6421364757036958,0.4544764056069078,44
Persistence,price_target_0,fold_2,3.405064936371269,3.2091100222695146,44
ElasticNet,price_target_0,fold_2,0.588085576743379,0.4629450496782333,44
ElasticTuned,price_target_0,fold_2,0.5670427665843114,0.45121027054934404,44
Ridge,price_target_0,fold_2,0.6154834325474821,0.4889241308123389,44
OLS,price_target_0,fold_2,0.684557850302989,0.5930096835648119,44
SARIMAX,price_target_0,fold_2,0.5828479176923281,0.47074178369196695,44
Persistence,price_target_0,fold_3,1.1637493899414744,0.9637236678031654,44
ElasticNet,price_target_0,fold_3,0.8450522113191187,0.7513997993269581,44
ElasticTuned,price_target_0,fold_3,0.5166299871051585,0.4254851412966172,44
Ridge,price_target_0,fold_3,1.6422556441923712,1.5223652987786702,44
OLS,price_target_0,fold_3,1.670795403250614,1.552030878805975,44
SARIMAX,price_target_0,fold_3,0.5772719990560298,0.5052432180962821,44
Persistence,price_target_0,fold_4,0.6389797156161746,0.5073176011912705,44
ElasticNet,price_target_0,fold_4,0.3377861645843873,0.26839832443567224,44
ElasticTuned,price_target_0,fold_4,0.2900822396569577,0.22072801142830148,44
Ridge,price_target_0,fold_4,0.672071372877527,0.606005749529731,44
OLS,price_target_0,fold_4,0.810508166829764,0.7257338419968465,44
SARIMAX,price_target_0,fold_4,0.2946232207469787,0.21311798110519248,44
Persistence,price_target_0,fold_5,4.676533500079587,4.03957037968382,44
ElasticNet,price_target_0,fold_5,0.9622149119791651,0.7395378735305087,44
ElasticTuned,price_target_0,fold_5,0.7378438008636117,0.5746113224268247,44
Ridge,price_target_0,fold_5,1.2730733077927556,1.0567129862793376,44
OLS,price_target_0,fold_5,1.3821257725853242,1.1612448951684933,44
SARIMAX,price_target_0,fold_5,0.5149000136329259,0.398527430921199,44
Persistence,price_target_12,fold_1,2.65857051291756,2.0587073453864932,42
ElasticNet,price_target_12,fold_1,2.363497953084848,1.9367413602242691,42
ElasticTuned,price_target_12,fold_1,2.29322700293711,1.8786524748801785,42
Ridge,price_target_12,fold_1,2.302699603457493,1.8655684100486667,42
SARIMAX,price_target_12,fold_1,2.68035660097095,2.1430175103503264,42
Persistence,price_target_12,fold_2,0.8100523777345541,0.6827125202339376,42
ElasticNet,price_target_12,fold_2,1.154602842428927,1.0313430840505446,42
ElasticTuned,price_target_12,fold_2,1.126937538559782,0.9876303237380425,42
Ridge,price_target_12,fold_2,1.9067241075400052,1.6994613951517115,42
SARIMAX,price_target_12,fold_2,0.980932434378771,0.8201766681677649,42
Persistence,price_target_12,fold_3,0.8750961970521715,0.7004394560479272,42
ElasticNet,price_target_12,fold_3,2.1405115483780373,1.9410613799318757,42
ElasticTuned,price_target_12,fold_3,1.9661368022895336,1.7963992972110188,42
Ridge,price_target_12,fold_3,1.9135014394337044,1.6814079848910033,42
SARIMAX,price_target_12,fold_3,1.4116977595523452,1.165905748177836,42
Persistence,price_target_12,fold_4,1.0352069280934768,0.8594635163301566,42
ElasticNet,price_target_12,fold_4,0.7967057303313945,0.7158457701992934,42
ElasticTuned,price_target_12,fold_4,0.7623159689417205,0.538925785351215,42
Ridge,price_target_12,fold_4,1.2397852408021606,1.0861493825020254,42
SARIMAX,price_target_12,fold_4,0.5524169062163599,0.4356544252117443,42
Persistence,price_target_12,fold_5,4.301952141298912,3.660515472235527,42
ElasticNet,price_target_12,fold_5,6.278075376109236,5.47902673328782,42
ElasticTuned,price_target_12,fold_5,3.6755578663097546,3.0853418374786603,42
Ridge,price_target_12,fold_5,7.468288923492824,6.457478477927352,42
SARIMAX,price_target_12,fold_5,3.5342299016563645,2.762361633921876,42
Persistence,price_target_3,fold_1,2.3183292023727793,1.770876420145325,43
ElasticNet,price_target_3,fold_1,1.5853186218987463,1.2751094432477972,43
ElasticTuned,price_target_3,fold_1,1.6997183048637692,1.4571872521633842,43
Ridge,price_target_3,fold_1,2.3795419176812924,1.8455782868663797,43
OLS,price_target_3,fold_1,2.352102813874893,1.7366083541240374,43
SARIMAX,price_target_3,fold_1,1.54217995270358,1.164085405916791,43
Persistence,price_target_3,fold_2,2.5304982400188827,2.4006571760539,43
ElasticNet,price_target_3,fold_2,1.5744621304928597,1.209338471179793,43
ElasticTuned,price_target_3,fold_2,2.03949394656217,1.738803564823036,43
Ridge,price_target_3,fold_2,1.7050516096400448,1.3559527454675544,43
OLS,price_target_3,fold_2,1.4924639380796527,1.244955618072545,43
SARIMAX,price_target_3,fold_2,1.815672021653315,1.5671007219018702,43
Persistence,price_target_3,fold_3,0.7608572588325909,0.6132314362145355,43
ElasticNet,price_target_3,fold_3,2.1695218945387604,2.0331246525200988,43
ElasticTuned,price_target_3,fold_3,1.6694364835880349,1.5116166640367361,43
Ridge,price_target_3,fold_3,2.8270183760641836,2.6838432723223127,43
OLS,price_target_3,fold_3,1.4415178382474507,1.2522361080469928,43
SARIMAX,price_target_3,fold_3,1.4701657069156615,1.2698127417296585,43
Persistence,price_target_3,fold_4,0.5881348741681328,0.4284516869922687,43
ElasticNet,price_target_3,fold_4,1.3720188210401931,1.272024767434697,43
ElasticTuned,price_target_3,fold_4,0.6175099597719157,0.4681868925618668,43
Ridge,price_target_3,fold_4,2.1569860975849546,2.0476920827581555,43
OLS,price_target_3,fold_4,3.095095134274636,2.7199325459931356,43
SARIMAX,price_target_3,fold_4,0.8451938624274056,0.6435747898386276,43
Persistence,price_target_3,fold_5,4.4900711052335405,3.8492244166473704,43
ElasticNet,price_target_3,fold_5,3.187208091543913,2.492282107988741,43
ElasticTuned,price_target_3,fold_5,3.6423739014994627,3.0382861953479954,43
Ridge,price_target_3,fold_5,3.5604370382382498,3.004561233682365,43
OLS,price_target_3,fold_5,4.774225868255149,4.072183547007344,43
SARIMAX,price_target_3,fold_5,2.472874678475962,1.959952120728687,43
Persistence,price_target_6,fold_1,2.3183292023727793,1.770876420145325,43
ElasticNet,price_target_6,fold_1,1.2839140606993644,1.0561812679874887,43
ElasticTuned,price_target_6,fold_1,1.500110156784788,1.2978688685599928,43
Ridge,price_target_6,fold_1,1.5375473171216756,1.330051289865562,43
SARIMAX,price_target_6,fold_1,1.9358095854653594,1.5397086223175742,43
Persistence,price_target_6,fold_2,2.5304982400188827,2.4006571760539,43
ElasticNet,price_target_6,fold_2,1.0541774554680645,0.8375947860342179,43
ElasticTuned,price_target_6,fold_2,1.0682602808920916,0.8596370339118509,43
Ridge,price_target_6,fold_2,1.3802748963139677,0.9466257659208116,43
SARIMAX,price_target_6,fold_2,2.1186107878683904,1.9071234992286052,43
Persistence,price_target_6,fold_3,0.7608572588325909,0.6132314362145355,43
ElasticNet,price_target_6,fold_3,3.1118290257165997,2.8896523486421817,43
ElasticTuned,price_target_6,fold_3,2.217559435244402,2.0346114363384897,43
Ridge,price_target_6,fold_3,3.7041834615963003,3.434268377284858,43
SARIMAX,price_target_6,fold_3,1.784220523236912,1.5654560449498298,43
Persistence,price_target_6,fold_4,0.5881348741681328,0.4284516869922687,43
ElasticNet,price_target_6,fold_4,1.4039911804783993,1.3016635365227345,43
ElasticTuned,price_target_6,fold_4,0.86281566668549,0.7812940994738158,43
Ridge,price_target_6,fold_4,1.979324852412939,1.839605303381555,43
SARIMAX,price_target_6,fold_4,0.9400983611012304,0.7353706891228097,43
Persistence,price_target_6,fold_5,4.4900711052335405,3.8492244166473704,43
ElasticNet,price_target_6,fold_5,5.307167604915274,4.494034518770295,43
ElasticTuned,price_target_6,fold_5,3.6347160184722043,3.031598203475659,43
Ridge,price_target_6,fold_5,5.411346417344952,4.571842997095126,43
SARIMAX,price_target_6,fold_5,2.902588186846916,2.3267746697684113,43
Persistence,wage_target_0,fold_1,0.26516536643878014,0.23160179513889156,32
ElasticNet,wage_target_0,fold_1,0.17602343306289364,0.1300406473844048,32
ElasticTuned,wage_target_0,fold_1,0.19187177283832235,0.14672311647985967,32
Ridge,wage_target_0,fold_1,0.23382367626560902,0.1852029143523574,32
OLS,wage_target_0,fold_1,0.9051950450895063,0.8152677161985346,32
Persistence,wage_target_0,fold_2,0.1982268889369203,0.15296947150049978,32
ElasticNet,wage_target_0,fold_2,0.12373747850256699,0.10127142336737828,32
ElasticTuned,wage_target_0,fold_2,0.14700528233779206,0.12809431876991362,32
Ridge,wage_target_0,fold_2,0.13600948160171264,0.11606500437400818,32
OLS,wage_target_0,fold_2,0.1550537076154536,0.12190294073079053,32
Persistence,wage_target_0,fold_3,0.38045955746858084,0.29717106881098354,32
ElasticNet,wage_target_0,fold_3,0.2247249649236589,0.18680926188471536,32
ElasticTuned,wage_target_0,fold_3,0.2611118199544319,0.22224725286622687,32
Ridge,wage_target_0,fold_3,0.19018765256401307,0.15056972810665115,32
OLS,wage_target_0,fold_3,0.22473678367237343,0.13667081807754203,32
Persistence,wage_target_0,fold_4,1.3880440794972064,0.9319953717141575,32
ElasticNet,wage_target_0,fold_4,1.0398439099913381,0.6347864597605144,32
ElasticTuned,wage_target_0,fold_4,1.0514988623146828,0.598003361508028,32
Ridge,wage_target_0,fold_4,1.030699659951621,0.7087443754372557,32
OLS,wage_target_0,fold_4,1.1634912892649334,0.7471692123089915,32
Persistence,wage_target_0,fold_5,0.7214524030788678,0.5753778746859963,32
ElasticNet,wage_target_0,fold_5,2.645535434105058,2.4696607121020118,32
ElasticTuned,wage_target_0,fold_5,3.387736864768121,3.1811267089723443,32
Ridge,wage_target_0,fold_5,4.898504607454356,4.587646122661782,32
OLS,wage_target_0,fold_5,5.285241038522908,4.9387044768357145,32
Persistence,wage_target_12,fold_1,0.18483538316911058,0.1554566517491566,30
ElasticNet,wage_target_12,fold_1,0.27814095289380353,0.23010435361431225,30
ElasticTuned,wage_target_12,fold_1,0.25323161468742345,0.2027095108882005,30
Ridge,wage_target_12,fold_1,0.3454169562103118,0.2998224108743714,30
Persistence,wage_target_12,fold_2,0.2541949563207678,0.20133759500864676,30
ElasticNet,wage_target_12,fold_2,0.14349633350844052,0.11069182450443789,30
ElasticTuned,wage_target_12,fold_2,0.14349633350844052,0.11069182450443789,30
Ridge,wage_target_12,fold_2,0.18943964467637817,0.1535864236140185,30
Persistence,wage_target_12,fold_3,0.3887125908895389,0.2861810334622117,30
ElasticNet,wage_target_12,fold_3,0.2739501646012991,0.20904380072524015,30
ElasticTuned,wage_target_12,fold_3,0.24694772275189558,0.18779246525848753,30
Ridge,wage_target_12,fold_3,0.22019283341005655,0.17447658259345988,30
Persistence,wage_target_12,fold_4,1.4543168599981626,1.0517557225918408,30
ElasticNet,wage_target_12,fold_4,1.5197488947121505,1.1522956833725522,30
ElasticTuned,wage_target_12,fold_4,1.5243052356244577,1.1996949921567326,30
Ridge,wage_target_12,fold_4,1.617203519026757,1.2665217943395446,30
Persistence,wage_target_12,fold_5,0.5159819043294963,0.4523682112071932,30
ElasticNet,wage_target_12,fold_5,1.055512430840095,0.9091652743547602,30
ElasticTuned,wage_target_12,fold_5,1.1569840750550875,0.9551402571726564,30
Ridge,wage_target_12,fold_5,0.9430075075469467,0.7363177511060719,30
Persistence,wage_target_3,fold_1,0.21859602276793494,0.1898735392716133,31
ElasticNet,wage_target_3,fold_1,0.4602230567834137,0.3594854908236858,31
ElasticTuned,wage_target_3,fold_1,0.5511022451387918,0.4238741394394813,31
Ridge,wage_target_3,fold_1,0.6337260960843383,0.4573865152933157,31
OLS,wage_target_3,fold_1,1.2612844730616155,1.1836277107681212,31
Persistence,wage_target_3,fold_2,0.19848853942300398,0.1696514958722093,31
ElasticNet,wage_target_3,fold_2,0.1960575533764525,0.14859853879516294,31
ElasticTuned,wage_target_3,fold_2,0.21851076291262939,0.17228044605554713,31
