target_name,feature_name
price_target_0,log_jolts_ratio
price_target_0,unemployment_rate
price_target_0,quits_rate
price_target_0,fed_funds
price_target_0,consumer_sentiment
price_target_0,hy_oas
price_target_0,post_regime
price_target_0,high_inflation
price_target_0,tight_labor
price_target_0,cpi_all_12m_pct_lag_1
price_target_0,cpi_all_12m_pct_lag_3
price_target_0,cpi_all_12m_pct_lag_6
price_target_0,cpi_all_12m_pct_lag_12
price_target_0,log_jolts_ratio_chg_1
price_target_0,log_jolts_ratio_chg_3
price_target_0,unemployment_rate_chg_1
price_target_0,quits_rate_chg_1
price_target_0,fed_funds_chg_1
price_target_0,log_jolts_ratio_x_post_regime
price_target_0,log_jolts_ratio_x_high_inflation
price_target_0,jolts_x_unemployment
price_target_12,log_jolts_ratio
price_target_12,unemployment_rate
price_target_12,quits_rate
price_target_12,fed_funds
price_target_12,consumer_sentiment
price_target_12,hy_oas
price_target_12,post_regime
price_target_12,high_inflation
price_target_12,tight_labor
price_target_12,cpi_all_12m_pct_lag_1
price_target_12,cpi_all_12m_pct_lag_3
price_target_12,cpi_all_12m_pct_lag_6
price_target_12,cpi_all_12m_pct_lag_12
price_target_12,log_jolts_ratio_chg_1
price_target_12,log_jolts_ratio_chg_3
price_target_12,unemployment_rate_chg_1
price_target_12,quits_rate_chg_1
price_target_12,fed_funds_chg_1
price_target_12,log_jolts_ratio_x_post_regime
price_target_12,log_jolts_ratio_x_high_inflation
price_target_12,jolts_x_unemployment
price_target_3,log_jolts_ratio
price_target_3,unemployment_rate
price_target_3,quits_rate
price_target_3,fed_funds
price_target_3,consumer_sentiment
price_target_3,hy_oas
price_target_3,post_regime
price_target_3,high_inflation
price_target_3,tight_labor
price_target_3,cpi_all_12m_pct_lag_1
price_target_3,cpi_all_12m_pct_lag_3
price_target_3,cpi_all_12m_pct_lag_6
price_target_3,cpi_all_12m_pct_lag_12
price_target_3,log_jolts_ratio_chg_1
price_target_3,log_jolts_ratio_chg_3
price_target_3,unemployment_rate_chg_1
price_target_3,quits_rate_chg_1
price_target_3,fed_funds_chg_1
price_target_3,log_jolts_ratio_x_post_regime
price_target_3,log_jolts_ratio_x_high_inflation
price_target_3,jolts_x_unemployment
price_target_6,log_jolts_ratio
price_target_6,unemployment_rate
price_target_6,quits_rate
price_target_6,fed_funds
price_target_6,consumer_sentiment
price_target_6,hy_oas
price_target_6,post_regime
price_target_6,high_inflation
price_target_6,tight_labor
price_target_6,cpi_all_12m_pct_lag_1
price_target_6,cpi_all_12m_pct_lag_3
price_target_6,cpi_all_12m_pct_lag_6
price_target_6,cpi_all_12m_pct_lag_12
price_target_6,log_jolts_ratio_chg_1
price_target_6,log_jolts_ratio_chg_3
price_target_6,unemployment_rate_chg_1
price_target_6,quits_rate_chg_1
price_target_6,fed_funds_chg_1
price_target_6,log_jolts_ratio_x_post_regime
price_target_6,log_jolts_ratio_x_high_inflation
price_target_6,jolts_x_unemployment
wage_target_0,log_jolts_ratio
wage_target_0,unemployment_rate
wage_target_0,quits_rate
wage_target_0,fed_funds
wage_target_0,consumer_sentiment
wage_target_0,hy_oas
wage_target_0,post_regime
wage_target_0,high_inflation
wage_target_0,tight_labor
wage_target_0,ahe_private_12m_pct_lag_1
wage_target_0,ahe_private_12m_pct_lag_3
wage_target_0,ahe_private_12m_pct_lag_6
wage_target_0,ahe_private_12m_pct_lag_12
wage_target_0,log_jolts_ratio_chg_1
wage_target_0,log_jolts_ratio_chg_3
wage_target_0,unemployment_rate_chg_1
wage_target_0,quits_rate_chg_1
wage_target_0,fed_funds_chg_1
wage_target_0,log_jolts_ratio_x_post_regime
wage_target_0,log_jolts_ratio_x_high_inflation
wage_target_0,jolts_x_unemployment
wage_target_12,log_jolts_ratio
wage_target_12,unemployment_rate
wage_target_12,quits_rate
wage_target_12,fed_funds
wage_target_12,consumer_sentiment
wage_target_12,hy_oas
wage_target_12,post_regime
wage_target_12,high_inflation
wage_target_12,tight_labor
wage_target_12,ahe_private_12m_pct_lag_1
