model_name,target_name,split_name,rmse_value,mae_value,row_count
Persistence,price_target_0,fold_1,2.2825429500775547,1.671768968753871,44
ElasticNet,price_target_0,fold_1,0.49899719429953954,0.36016117657335206,44
Ridge,price_target_0,fold_1,1.031230823259571,0.8543122468275179,44
OLS,price_target_0,fold_1,1.5118824981544163,1.2296896583891184,44
RidgeTuned,price_target_0,fold_1,0.6314612350520215,0.49988477905667816,44
ElasticTuned,price_target_0,fold_1,0.6620563840554988,0.5148959763993678,44
SARIMAX,price_target_0,fold_1,1.5797151357869312,1.2857954416765107,44
Persistence,price_target_0,fold_2,3.405064936371269,3.2091100222695146,44
ElasticNet,price_target_0,fold_2,0.588085576743379,0.4629450496782333,44
Ridge,price_target_0,fold_2,0.6154834325474821,0.4889241308123389,44
OLS,price_target_0,fold_2,0.684557850302989,0.5930096835648119,44
RidgeTuned,price_target_0,fold_2,0.6557520280568233,0.5341654603142669,44
ElasticTuned,price_target_0,fold_2,0.5670427665843114,0.45121027054934404,44
SARIMAX,price_target_0,fold_2,0.7375418523800058,0.6022201548462573,44
Persistence,price_target_0,fold_3,1.1637493899414744,0.9637236678031654,44
ElasticNet,price_target_0,fold_3,0.8450522113191187,0.7513997993269581,44
Ridge,price_target_0,fold_3,1.6422556441923712,1.5223652987786702,44
OLS,price_target_0,fold_3,1.670795403250614,1.552030878805975,44
RidgeTuned,price_target_0,fold_3,1.3397451924141643,1.212229246416619,44
ElasticTuned,price_target_0,fold_3,0.5166299871051585,0.4254851412966172,44
SARIMAX,price_target_0,fold_3,2.4212963489908845,2.2373701099175247,44
Persistence,price_target_0,fold_4,0.6389797156161746,0.5073176011912705,44
ElasticNet,price_target_0,fold_4,0.3377861645843873,0.26839832443567224,44
Ridge,price_target_0,fold_4,0.672071372877527,0.606005749529731,44
OLS,price_target_0,fold_4,0.810508166829764,0.7257338419968465,44
RidgeTuned,price_target_0,fold_4,0.642488753787091,0.5805444508689215,44
ElasticTuned,price_target_0,fold_4,0.2900822396569577,0.22072801142830148,44
SARIMAX,price_target_0,fold_4,0.6233197099620965,0.5262443043259105,44
Persistence,price_target_0,fold_5,4.676533500079587,4.03957037968382,44
ElasticNet,price_target_0,fold_5,0.9622149119791651,0.7395378735305087,44
Ridge,price_target_0,fold_5,1.2730733077927556,1.0567129862793376,44
OLS,price_target_0,fold_5,1.3821257725853242,1.1612448951684933,44
RidgeTuned,price_target_0,fold_5,1.4935679064077505,1.1814545182087743,44
ElasticTuned,price_target_0,fold_5,0.7378438008636117,0.5746113224268247,44
SARIMAX,price_target_0,fold_5,2.7882455887415705,2.262956128625734,44
Persistence,price_target_12,fold_1,2.65857051291756,2.0587073453864932,42
ElasticNet,price_target_12,fold_1,2.363497953084848,1.9367413602242691,42
Ridge,price_target_12,fold_1,2.302699603457493,1.8655684100486667,42
OLS,price_target_12,fold_1,2.4188056675483343,2.0028343607808106,42
RidgeTuned,price_target_12,fold_1,2.302699603457493,1.8655684100486667,42
ElasticTuned,price_target_12,fold_1,2.29322700293711,1.8786524748801785,42
SARIMAX,price_target_12,fold_1,2.519353733063553,2.0511095333472418,42
Persistence,price_target_12,fold_2,0.8100523777345541,0.6827125202339376,42
ElasticNet,price_target_12,fold_2,1.154602842428927,1.0313430840505446,42
Ridge,price_target_12,fold_2,1.9067241075400052,1.6994613951517115,42
OLS,price_target_12,fold_2,6.678121514168442,6.44779242247688,42
RidgeTuned,price_target_12,fold_2,1.1069149385824404,0.8352958692511084,42
ElasticTuned,price_target_12,fold_2,1.126937538559782,0.9876303237380425,42
SARIMAX,price_target_12,fold_2,3.5961444255183297,3.419328722134437,42
Persistence,price_target_12,fold_3,0.8750961970521715,0.7004394560479272,42
ElasticNet,price_target_12,fold_3,2.1405115483780373,1.9410613799318757,42
Ridge,price_target_12,fold_3,1.9135014394337044,1.6814079848910033,42
OLS,price_target_12,fold_3,1.0904612126199942,0.8496063668508533,42
RidgeTuned,price_target_12,fold_3,2.2444792978973864,2.0690581889785573,42
ElasticTuned,price_target_12,fold_3,1.9661368022895336,1.7963992972110188,42
SARIMAX,price_target_12,fold_3,1.6365160943742825,1.3807252006828403,42
Persistence,price_target_12,fold_4,1.0352069280934768,0.8594635163301566,42
ElasticNet,price_target_12,fold_4,0.7967057303313945,0.7158457701992934,42
Ridge,price_target_12,fold_4,1.2397852408021606,1.0861493825020254,42
OLS,price_target_12,fold_4,1.8096692097745113,1.558781188667816,42
RidgeTuned,price_target_12,fold_4,0.6728411686739454,0.5140283514322986,42
ElasticTuned,price_target_12,fold_4,0.7623159689417205,0.538925785351215,42
SARIMAX,price_target_12,fold_4,0.749467575922023,0.568966946702465,42
Persistence,price_target_12,fold_5,4.301952141298912,3.660515472235527,42
ElasticNet,price_target_12,fold_5,6.278075376109236,5.47902673328782,42
Ridge,price_target_12,fold_5,7.468288923492824,6.457478477927352,42
OLS,price_target_12,fold_5,10.746872704491443,9.153116771217205,42
RidgeTuned,price_target_12,fold_5,5.439299314472271,4.716101829530173,42
ElasticTuned,price_target_12,fold_5,3.6755578663097546,3.0853418374786603,42
SARIMAX,price_target_12,fold_5,6.732632119121826,5.638587083338111,42
Persistence,price_target_3,fold_1,2.3183292023727793,1.770876420145325,43
ElasticNet,price_target_3,fold_1,1.5853186218987463,1.2751094432477972,43
Ridge,price_target_3,fold_1,2.3795419176812924,1.8455782868663797,43
OLS,price_target_3,fold_1,2.352102813874893,1.7366083541240374,43
RidgeTuned,price_target_3,fold_1,1.3175694738467363,1.1291908234658148,43
ElasticTuned,price_target_3,fold_1,1.6997183048637692,1.4571872521633842,43
SARIMAX,price_target_3,fold_1,2.268718380996385,1.5888557279479463,43
Persistence,price_target_3,fold_2,2.5304982400188827,2.4006571760539,43
ElasticNet,price_target_3,fold_2,1.5744621304928597,1.209338471179793,43
Ridge,price_target_3,fold_2,1.7050516096400448,1.3559527454675544,43
OLS,price_target_3,fold_2,1.4924639380796527,1.244955618072545,43
RidgeTuned,price_target_3,fold_2,1.4039461138393596,1.053946658036372,43
ElasticTuned,price_target_3,fold_2,2.03949394656217,1.738803564823036,43
SARIMAX,price_target_3,fold_2,2.3547224002403646,2.038425912465016,43
Persistence,price_target_3,fold_3,0.7608572588325909,0.6132314362145355,43
ElasticNet,price_target_3,fold_3,2.1695218945387604,2.0331246525200988,43
Ridge,price_target_3,fold_3,2.8270183760641836,2.6838432723223127,43
OLS,price_target_3,fold_3,1.4415178382474507,1.2522361080469928,43
RidgeTuned,price_target_3,fold_3,2.1081446726129345,1.941898800956158,43
ElasticTuned,price_target_3,fold_3,1.6694364835880349,1.5116166640367361,43
SARIMAX,price_target_3,fold_3,2.316443559920735,2.1705673822640152,43
Persistence,price_target_3,fold_4,0.5881348741681328,0.4284516869922687,43
ElasticNet,price_target_3,fold_4,1.3720188210401931,1.272024767434697,43
Ridge,price_target_3,fold_4,2.1569860975849546,2.0476920827581555,43
OLS,price_target_3,fold_4,3.095095134274636,2.7199325459931356,43
RidgeTuned,price_target_3,fold_4,1.0411446860499076,0.9052236977680247,43
ElasticTuned,price_target_3,fold_4,0.6175099597719157,0.4681868925618668,43
SARIMAX,price_target_3,fold_4,0.7596090226117942,0.545605916590628,43
Persistence,price_target_3,fold_5,4.4900711052335405,3.8492244166473704,43
ElasticNet,price_target_3,fold_5,3.187208091543913,2.492282107988741,43
Ridge,price_target_3,fold_5,3.5604370382382498,3.004561233682365,43
OLS,price_target_3,fold_5,4.774225868255149,4.072183547007344,43
RidgeTuned,price_target_3,fold_5,3.106399295175181,2.4750912737064232,43
ElasticTuned,price_target_3,fold_5,3.6423739014994627,3.0382861953479954,43
SARIMAX,price_target_3,fold_5,2.3985373348774375,1.9743646086068387,43
Persistence,price_target_6,fold_1,2.3183292023727793,1.770876420145325,43
ElasticNet,price_target_6,fold_1,1.2839140606993644,1.0561812679874887,43
Ridge,price_target_6,fold_1,1.5375473171216756,1.330051289865562,43
OLS,price_target_6,fold_1,1.8602961070194861,1.5692188890998355,43
RidgeTuned,price_target_6,fold_1,1.3795613738982437,1.185127730748525,43
ElasticTuned,price_target_6,fold_1,1.500110156784788,1.2978688685599928,43
SARIMAX,price_target_6,fold_1,1.9392368151980832,1.6392533767333064,43
Persistence,price_target_6,fold_2,2.5304982400188827,2.4006571760539,43
ElasticNet,price_target_6,fold_2,1.0541774554680645,0.8375947860342179,43
Ridge,price_target_6,fold_2,1.3802748963139677,0.9466257659208116,43
OLS,price_target_6,fold_2,4.68374160356955,4.325831042850345,43
RidgeTuned,price_target_6,fold_2,1.2503793745166716,1.1090840439368352,43
ElasticTuned,price_target_6,fold_2,1.0682602808920916,0.8596370339118509,43
SARIMAX,price_target_6,fold_2,2.330205565892891,1.702549954261012,43
Persistence,price_target_6,fold_3,0.7608572588325909,0.6132314362145355,43
ElasticNet,price_target_6,fold_3,3.1118290257165997,2.8896523486421817,43
Ridge,price_target_6,fold_3,3.7041834615963003,3.434268377284858,43
OLS,price_target_6,fold_3,2.926662885112121,2.7067358175577936,43
RidgeTuned,price_target_6,fold_3,2.45449981699363,2.2507247462387605,43
ElasticTuned,price_target_6,fold_3,2.217559435244402,2.0346114363384897,43
SARIMAX,price_target_6,fold_3,2.8400023238430827,2.4594437994500886,43
Persistence,price_target_6,fold_4,0.5881348741681328,0.4284516869922687,43
ElasticNet,price_target_6,fold_4,1.4039911804783993,1.3016635365227345,43
Ridge,price_target_6,fold_4,1.979324852412939,1.839605303381555,43
OLS,price_target_6,fold_4,2.705219807103989,2.4271443790444,43
RidgeTuned,price_target_6,fold_4,2.6225387637474626,2.3628213429649523,43
ElasticTuned,price_target_6,fold_4,0.86281566668549,0.7812940994738158,43
SARIMAX,price_target_6,fold_4,0.7802306014620225,0.564553006021657,43
Persistence,price_target_6,fold_5,4.4900711052335405,3.8492244166473704,43
ElasticNet,price_target_6,fold_5,5.307167604915274,4.494034518770295,43
Ridge,price_target_6,fold_5,5.411346417344952,4.571842997095126,43
OLS,price_target_6,fold_5,7.35581294721895,6.285111405225873,43
RidgeTuned,price_target_6,fold_5,4.674382116133451,3.95215154922781,43
ElasticTuned,price_target_6,fold_5,3.6347160184722043,3.031598203475659,43
SARIMAX,price_target_6,fold_5,5.817605010494863,5.0785382466194475,43
Persistence,wage_target_0,fold_1,0.26516536643878014,0.23160179513889156,32
ElasticNet,wage_target_0,fold_1,0.17602343306289364,0.1300406473844048,32
Ridge,wage_target_0,fold_1,0.23382367626560902,0.1852029143523574,32
OLS,wage_target_0,fold_1,0.9051950450895063,0.8152677161985346,32
RidgeTuned,wage_target_0,fold_1,0.19866559475078396,0.15161370788689826,32
ElasticTuned,wage_target_0,fold_1,0.19187177283832235,0.14672311647985967,32
SARIMAX,wage_target_0,fold_1,0.5325955123744143,0.45939140062389755,32
Persistence,wage_target_0,fold_2,0.1982268889369203,0.15296947150049978,32
ElasticNet,wage_target_0,fold_2,0.12373747850256699,0.10127142336737828,32
Ridge,wage_target_0,fold_2,0.13600948160171264,0.11606500437400818,32
OLS,wage_target_0,fold_2,0.1550537076154536,0.12190294073079053,32
RidgeTuned,wage_target_0,fold_2,0.14510707065923686,0.11793650940966402,32
ElasticTuned,wage_target_0,fold_2,0.14700528233779206,0.12809431876991362,32
SARIMAX,wage_target_0,fold_2,0.14490015182158472,0.11319109994214473,32
Persistence,wage_target_0,fold_3,0.38045955746858084,0.29717106881098354,32
ElasticNet,wage_target_0,fold_3,0.2247249649236589,0.18680926188471536,32
Ridge,wage_target_0,fold_3,0.19018765256401307,0.15056972810665115,32
OLS,wage_target_0,fold_3,0.22473678367237343,0.13667081807754203,32
RidgeTuned,wage_target_0,fold_3,0.20697069637028218,0.13863833914936674,32
ElasticTuned,wage_target_0,fold_3,0.2611118199544319,0.22224725286622687,32
SARIMAX,wage_target_0,fold_3,0.21413451041668194,0.13030968858585767,32
Persistence,wage_target_0,fold_4,1.3880440794972064,0.9319953717141575,32
ElasticNet,wage_target_0,fold_4,1.0398439099913381,0.6347864597605144,32
Ridge,wage_target_0,fold_4,1.030699659951621,0.7087443754372557,32
