target_name,fold_name,ridge_alpha,elastic_alpha,elastic_ratio,sarimax_order
price_target_0,1,25.0,0.1,0.9,"(1, 0, 0)"
price_target_0,2,10.0,0.05,0.9,"(0, 0, 1)"
price_target_0,3,25.0,0.1,0.9,"(1, 0, 0)"
price_target_0,4,5.0,0.05,0.9,"(1, 0, 0)"
price_target_0,5,25.0,0.05,0.9,"(1, 0, 0)"
price_target_12,1,1.0,0.01,0.3,"(1, 0, 1)"
price_target_12,2,5.0,0.5,0.1,"(1, 0, 1)"
price_target_12,3,50.0,1.0,0.1,"(2, 0, 0)"
price_target_12,4,50.0,0.5,0.3,"(1, 0, 1)"
price_target_12,5,50.0,1.0,0.9,"(1, 0, 1)"
price_target_3,1,50.0,0.5,0.9,"(1, 0, 1)"
price_target_3,2,50.0,0.1,0.9,"(2, 0, 0)"
price_target_3,3,50.0,0.5,0.5,"(2, 0, 0)"
price_target_3,4,50.0,0.5,0.1,"(2, 0, 0)"
price_target_3,5,50.0,1.0,0.9,"(2, 0, 0)"
price_target_6,1,50.0,0.5,0.3,"(1, 0, 1)"
price_target_6,2,25.0,0.1,0.7,"(2, 0, 0)"
price_target_6,3,50.0,0.5,0.1,"(2, 0, 0)"
price_target_6,4,0.01,0.1,0.7,"(2, 0, 0)"
price_target_6,5,50.0,1.0,0.9,"(2, 0, 0)"
wage_target_0,1,50.0,0.1,0.9,"(0, 0, 1)"
wage_target_0,2,50.0,0.1,0.9,"(0, 0, 1)"
wage_target_0,3,0.1,0.1,0.9,"(0, 0, 1)"
wage_target_0,4,5.0,0.05,0.7,"(0, 0, 1)"
wage_target_0,5,5.0,0.05,0.1,"(2, 0, 0)"
wage_target_12,1,25.0,0.5,0.3,"(0, 0, 1)"
wage_target_12,2,25.0,0.05,0.5,"(2, 0, 0)"
wage_target_12,3,50.0,0.05,0.3,"(1, 0, 1)"
wage_target_12,4,1.0,0.01,0.3,"(1, 0, 1)"
wage_target_12,5,50.0,0.01,0.9,"(1, 0, 0)"
wage_target_3,1,1.0,0.01,0.9,"(1, 0, 1)"
wage_target_3,2,50.0,0.1,0.9,"(1, 0, 0)"
wage_target_3,3,50.0,0.5,0.1,"(1, 0, 1)"
wage_target_3,4,50.0,0.1,0.5,"(1, 0, 1)"
wage_target_3,5,50.0,0.5,0.1,"(1, 0, 0)"
wage_target_6,1,5.0,0.01,0.7,"(1, 0, 0)"
wage_target_6,2,25.0,0.01,0.7,"(1, 0, 0)"
wage_target_6,3,50.0,0.05,0.9,"(1, 0, 1)"
wage_target_6,4,25.0,0.05,0.9,"(1, 0, 1)"
wage_target_6,5,5.0,0.01,0.1,"(1, 0, 0)"
