feature,is_target,is_default_feature,is_interaction_only
consumer_sentiment,False,True,False
consumer_sentiment_chg_1,False,True,False
consumer_sentiment_chg_3,False,True,False
consumer_sentiment_lag_1,False,True,False
consumer_sentiment_lag_3,False,True,False
cpi_12_post,False,False,False
cpi_12_shock,False,False,False
cpi_12_train,False,False,False
cpi_12_valid,False,False,False
cpi_3_post,False,False,False
cpi_3_shock,False,False,False
cpi_3_train,False,False,False
cpi_3_valid,False,False,False
cpi_6_post,False,False,False
cpi_6_shock,False,False,False
cpi_6_train,False,False,False
cpi_6_valid,False,False,False
cpi_target_12,True,False,False
cpi_target_3,True,False,False
cpi_target_6,True,False,False
credit_stress,False,True,False
date,False,False,False
fed_funds,False,True,False
fed_funds_chg_1,False,True,False
fed_funds_chg_3,False,True,False
fed_funds_lag_1,False,True,False
fed_funds_lag_3,False,True,False
high_inflation,False,True,False
hy_oas,False,True,False
hy_oas_chg_1,False,True,False
hy_oas_chg_3,False,True,False
hy_oas_lag_1,False,True,False
hy_oas_lag_3,False,True,False
jolts_ratio,False,True,False
jolts_ratio_lag_1,False,True,False
jolts_ratio_lag_3,False,True,False
jolts_ratio_lag_6,False,True,False
log_jolts_ratio,False,True,False
log_jolts_ratio_chg_1,False,True,False
log_jolts_ratio_chg_3,False,True,False
log_jolts_ratio_chg_6,False,True,False
log_jolts_ratio_lag_1,False,True,False
log_jolts_ratio_lag_3,False,True,False
log_jolts_ratio_lag_6,False,True,False
log_jolts_ratio_std_12,False,True,False
log_jolts_ratio_std_3,False,True,False
log_jolts_ratio_std_6,False,True,False
pce_12_post,False,False,False
pce_12_shock,False,False,False
pce_12_train,False,False,False
pce_12_valid,False,False,False
pce_3_post,False,False,False
pce_3_shock,False,False,False
pce_3_train,False,False,False
pce_3_valid,False,False,False
pce_6_post,False,False,False
pce_6_shock,False,False,False
pce_6_train,False,False,False
pce_6_valid,False,False,False
pce_target_12,True,False,False
pce_target_3,True,False,False
pce_target_6,True,False,False
post_regime,False,False,False
pre_regime,False,False,False
quits_rate,False,True,False
quits_rate_chg_1,False,True,False
quits_rate_chg_3,False,True,False
quits_rate_chg_6,False,True,False
quits_rate_lag_1,False,True,False
quits_rate_lag_3,False,True,False
quits_rate_lag_6,False,True,False
regime,False,False,False
shock_regime,False,False,False
split_role,False,False,False
tight_labor,False,True,False
unemployment_rate,False,True,False
unemployment_rate_chg_1,False,True,False
unemployment_rate_chg_3,False,True,False
unemployment_rate_chg_6,False,True,False
unemployment_rate_lag_1,False,True,False
unemployment_rate_lag_3,False,True,False
unemployment_rate_lag_6,False,True,False
wage_12_post,False,False,False
wage_12_shock,False,False,False
wage_12_train,False,False,False
wage_12_valid,False,False,False
wage_3_post,False,False,False
wage_3_shock,False,False,False
wage_3_train,False,False,False
wage_3_valid,False,False,False
wage_6_post,False,False,False
wage_6_shock,False,False,False
wage_6_train,False,False,False
wage_6_valid,False,False,False
wage_target_12,True,False,False
wage_target_3,True,False,False
wage_target_6,True,False,False
