left_col,right_col,correlation_value
fed_funds,fed_funds_lag_1,0.9958132903513615
jolts_ratio,jolts_ratio_lag_1,0.9886801476444134
log_jolts_ratio,log_jolts_ratio_lag_1,0.985278701019706
fed_funds_lag_1,fed_funds_lag_3,0.984937370221874
jolts_ratio_lag_1,jolts_ratio_lag_3,0.9750236684026382
fed_funds,fed_funds_lag_3,0.9705032049468686
log_jolts_ratio_lag_1,log_jolts_ratio_lag_3,0.9686577038109747
hy_oas,hy_oas_lag_1,0.9630941064906985
quits_rate,quits_rate_lag_1,0.9603977031693688
jolts_ratio,jolts_ratio_lag_3,0.9598098062176729
jolts_ratio_lag_3,jolts_ratio_lag_6,0.9592198220905985
log_jolts_ratio,log_jolts_ratio_lag_3,0.9532401325399722
log_jolts_ratio_lag_3,log_jolts_ratio_lag_6,0.9522285006279383
jolts_ratio_lag_1,log_jolts_ratio_lag_1,0.9463388160911248
jolts_ratio,log_jolts_ratio,0.9463054804397174
jolts_ratio_lag_3,log_jolts_ratio_lag_3,0.9461802335893946
jolts_ratio_lag_6,log_jolts_ratio_lag_6,0.9457327451269367
consumer_sentiment,consumer_sentiment_lag_1,0.945677212840228
quits_rate_lag_1,quits_rate_lag_3,0.9446249304925715
unemployment_rate,unemployment_rate_lag_1,0.9427337743249766
jolts_ratio,log_jolts_ratio_lag_1,0.9372856389505767
jolts_ratio_lag_1,log_jolts_ratio,0.9330675400754677
log_jolts_ratio_chg_3,unemployment_rate_chg_3,0.9287386985467906
quits_rate_lag_3,quits_rate_lag_6,0.9270683633773398
quits_rate,quits_rate_lag_3,0.9269860656891743
jolts_ratio_lag_1,log_jolts_ratio_lag_3,0.9261175561794194
jolts_ratio_lag_1,jolts_ratio_lag_6,0.9223060963928773
log_jolts_ratio_lag_1,log_jolts_ratio_lag_6,0.918537725620882
log_jolts_ratio_chg_6,unemployment_rate_chg_6,0.9183313177786161
jolts_ratio_lag_3,log_jolts_ratio_lag_1,0.9156317868677504
jolts_ratio,log_jolts_ratio_lag_3,0.9142796280036224
jolts_ratio_lag_3,log_jolts_ratio_lag_6,0.912538734626431
log_jolts_ratio,quits_rate_lag_1,0.9087390688763597
log_jolts_ratio_lag_6,quits_rate_lag_6,0.9053209546938102
log_jolts_ratio_lag_3,quits_rate_lag_3,0.9022982767996309
quits_rate_lag_1,quits_rate_lag_6,0.9012578754797774
hy_oas_lag_1,hy_oas_lag_3,0.9010652227558574
log_jolts_ratio,quits_rate,0.900736046693318
log_jolts_ratio_lag_1,quits_rate_lag_1,0.9007332589545706
log_jolts_ratio,log_jolts_ratio_lag_6,0.9004599351749365
jolts_ratio,jolts_ratio_lag_6,0.9002045743876121
log_jolts_ratio_lag_1,quits_rate_lag_3,0.8997416125010153
jolts_ratio_lag_3,log_jolts_ratio,0.8990548794815316
jolts_ratio_lag_6,log_jolts_ratio_lag_3,0.8986659450299531
log_jolts_ratio,quits_rate_lag_3,0.8950956737922593
log_jolts_ratio_lag_3,quits_rate_lag_6,0.8949417010787407
consumer_sentiment_lag_1,consumer_sentiment_lag_3,0.8855212580750074
jolts_ratio_lag_1,log_jolts_ratio_lag_6,0.8835055628955815
log_jolts_ratio,unemployment_rate,0.8834796903911725
unemployment_rate_lag_1,unemployment_rate_lag_3,0.8828331232784999
log_jolts_ratio_lag_1,unemployment_rate_lag_1,0.8828229919644646
log_jolts_ratio_lag_1,quits_rate,0.8823095782032822
log_jolts_ratio_lag_3,unemployment_rate_lag_3,0.8817906507390948
log_jolts_ratio_lag_6,unemployment_rate_lag_6,0.8805425399269607
jolts_ratio,quits_rate_lag_3,0.877437481871215
quits_rate,quits_rate_lag_6,0.877398397530518
jolts_ratio_lag_3,quits_rate_lag_6,0.8735768825991499
jolts_ratio,quits_rate_lag_1,0.8728009238360401
log_jolts_ratio_lag_1,quits_rate_lag_6,0.8722368710829707
jolts_ratio_lag_1,quits_rate_lag_3,0.8717628792279428
jolts_ratio,log_jolts_ratio_lag_6,0.8666667745940936
log_jolts_ratio_lag_1,unemployment_rate,0.8660531193622454
log_jolts_ratio_chg_1,unemployment_rate_chg_1,0.8654162991927695
jolts_ratio_lag_6,log_jolts_ratio_lag_1,0.8653128337860717
jolts_ratio_lag_1,quits_rate_lag_6,0.8644331973706881
log_jolts_ratio,quits_rate_lag_6,0.8619988036374087
jolts_ratio,quits_rate_lag_6,0.8603941434947253
log_jolts_ratio_lag_3,quits_rate_lag_1,0.8596307428306295
jolts_ratio,quits_rate,0.858175416741557
jolts_ratio_lag_1,quits_rate_lag_1,0.8573287896182342
jolts_ratio_lag_3,quits_rate_lag_3,0.8567502736936108
jolts_ratio_lag_6,quits_rate_lag_6,0.8565083825770501
consumer_sentiment,consumer_sentiment_lag_3,0.8511618083924947
log_jolts_ratio,unemployment_rate_lag_1,0.8500059170294163
