target,target_col,horizon,model,regime,term,coefficient,std_error,t_value,p_value,row_count,r_squared
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,const,1.7716216316418767,0.2838097119279193,6.2422868463776355,4.312192038519094e-10,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.5094600543276193,0.12572376901888077,4.052217478869173,5.073447082322911e-05,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,wage_target_3_lag,0.3245466466296725,0.09553629257650033,3.3971032146740776,0.0006810327418129833,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,fed_funds,0.07498280761003578,0.03534851064886107,2.1212437591752322,0.03390129451996808,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,hy_oas,0.022401093274006044,0.01539260531468899,1.4553152514492742,0.14558200628022078,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,post_regime,0.4233466829836968,0.1436732837124092,2.9465929367293495,0.0032129585276631867,103,0.7546737141333071
Wage,wage_target_3,3,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio_x_post,0.685971260219362,0.44758954375904436,1.5325900030154596,0.1253769061993763,103,0.7546737141333071
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,const,0.8273660235114909,0.4241015891183,1.9508675391468606,0.051072804988223086,85,0.6718895416952204
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,log_jolts_ratio,0.3542987148696295,0.12542046575694069,2.824887571030431,0.004729720871496838,85,0.6718895416952204
Wage,wage_target_6,6,Pooled Interaction,Pre/Post Pooled,wage_target_6_lag,0.8260268125076791,0.18744248638026562,4.406828080758136,1.0489537822129094e-05,85,0.6718895416952204
