target,target_col,horizon,model,split,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Persistence,Pre to Post,1.4588230692780817,1.3266556619425218,0.0,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,AR,Pre to Post,1.0141105421142114,0.9062519502644002,0.5167572468928356,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,OLS,Pre to Post,0.7795874029724681,0.6357232581041943,0.7144222412295298,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,Ridge,Pre to Post,0.7841957333230405,0.6398391296589099,0.7110360234579443,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,Lasso,Pre to Post,0.8167030946155359,0.6702018968513658,0.6865825610769447,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,ElasticNet,Pre to Post,0.813398393126907,0.6669227557200221,0.6891138495120122,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,Huber,Pre to Post,0.8420393582854517,0.6985726668593758,0.6668348718074073,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,RandomForest,Pre to Post,1.290090696746789,1.02445175025169,0.21794870071941086,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_3,3,GradientBoosting,Pre to Post,1.0942596026153264,0.8709622016842343,0.4373536732312936,16,2019-08-01,2021-09-01,2025-09-01
Wage,wage_target_6,6,Persistence,Pre to Post,5.274710332647704,5.240506505494139,0.0,18,2019-11-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,AR,Pre to Post,0.4318364457756242,0.31443212996156195,0.9932974300369423,18,2019-11-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,OLS,Pre to Post,0.49258657280931867,0.37545264349910923,0.9912789674131816,18,2019-11-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Ridge,Pre to Post,0.4492222361944797,0.3446819344265284,0.9927468733453565,18,2019-11-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,Lasso,Pre to Post,0.3605222579674399,0.2845553619021299,0.9953283861726108,18,2019-11-01,2021-06-01,2025-09-01
Wage,wage_target_6,6,ElasticNet,Pre to Post,0.35755862529873955,0.28278081763051255,0.9954048754413507,18,2019-11-01,2021-06-01,2025-09-01
