target,target_col,horizon,model,split,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Persistence,Expanding Window,0.6605721593206332,0.5544725294707595,0.0,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,AR,Expanding Window,0.5458689957787701,0.4534333057281514,0.31713268764907543,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,OLS,Expanding Window,0.5124751627030263,0.4242279752727475,0.3981266521442336,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,Ridge,Expanding Window,0.505839711630513,0.41624055435180884,0.4136116805725174,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,Lasso,Expanding Window,0.525711976001634,0.4410841663290712,0.3666333241628571,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,ElasticNet,Expanding Window,0.5156421764987151,0.4290466705919597,0.3906647060537799,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,Huber,Expanding Window,0.5030365133760505,0.414470017241854,0.4200928170988596,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,RandomForest,Expanding Window,0.5535069335852094,0.4571921250411741,0.29788928753207744,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,GradientBoosting,Expanding Window,0.47070318965665164,0.37071135314706066,0.4922455353126105,18,2012-09-01,2012-10-01,2015-08-01
Wage,wage_target_3,3,Persistence,Expanding Window,0.7044658319224903,0.5893059717342157,0.0,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,AR,Expanding Window,0.6053402804445769,0.45970902044209677,0.2616210966402772,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,OLS,Expanding Window,0.46748539709091314,0.36396459827625743,0.5596315150139917,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,Ridge,Expanding Window,0.46782030849467615,0.3645577641094113,0.559000319866134,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,Lasso,Expanding Window,0.4941711695102288,0.3813524898276112,0.5079208751245663,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,ElasticNet,Expanding Window,0.48646443339288337,0.376955315581746,0.5231494154590868,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,Huber,Expanding Window,0.5412408826678261,0.4174042843367731,0.4097155811410951,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,RandomForest,Expanding Window,0.48684115593124233,0.35338716250186697,0.5224105745167033,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,GradientBoosting,Expanding Window,0.4566679196078947,0.35640292288789777,0.5797757212389993,18,2015-08-01,2015-09-01,2018-10-01
Wage,wage_target_3,3,Persistence,Expanding Window,1.5470080698979805,1.2472111854011994,0.0,18,2018-10-01,2018-12-01,2024-06-01
Wage,wage_target_3,3,AR,Expanding Window,1.3825237982650491,1.1218561556536666,0.20134342146940443,18,2018-10-01,2018-12-01,2024-06-01
Wage,wage_target_3,3,OLS,Expanding Window,1.4023330437253048,1.096931281346577,0.17829264018989321,18,2018-10-01,2018-12-01,2024-06-01
