feature,vif
consumer_sentiment,inf
quits_rate_lag_1,inf
log_jolts_ratio_chg_6,inf
log_jolts_ratio_lag_3,inf
log_jolts_ratio_lag_6,inf
quits_rate,inf
quits_rate_chg_1,inf
quits_rate_chg_3,inf
quits_rate_chg_6,inf
quits_rate_lag_3,inf
log_jolts_ratio,inf
quits_rate_lag_6,inf
unemployment_rate,inf
unemployment_rate_chg_1,inf
unemployment_rate_chg_3,inf
unemployment_rate_chg_6,inf
unemployment_rate_lag_1,inf
unemployment_rate_lag_3,inf
consumer_sentiment_chg_1,inf
log_jolts_ratio_chg_3,inf
hy_oas,inf
hy_oas_chg_3,inf
consumer_sentiment_chg_3,inf
consumer_sentiment_lag_1,inf
consumer_sentiment_lag_3,inf
fed_funds,inf
fed_funds_chg_1,inf
fed_funds_chg_3,inf
fed_funds_lag_1,inf
fed_funds_lag_3,inf
hy_oas_chg_1,inf
unemployment_rate_lag_6,inf
hy_oas_lag_1,inf
hy_oas_lag_3,inf
log_jolts_ratio_lag_1,23814.14506835287
log_jolts_ratio_chg_1,687.1401928461464
jolts_ratio_lag_3,471.4832637325734
jolts_ratio_lag_1,331.9167085171203
jolts_ratio,323.8346278456128
jolts_ratio_lag_6,186.81195419670172
log_jolts_ratio_std_6,20.55849823415747
log_jolts_ratio_std_3,10.071970919898495
log_jolts_ratio_std_12,9.847572110711255
tight_labor,5.626899799226209
credit_stress,3.0077483628494925
high_inflation,2.236940600912434
