target_name,feature_name,feature_count,feature_cols
wage_target_3,persistence,0,
wage_target_3,tightness_only,2,log_jolts_ratio|jolts_ratio
wage_target_3,tightness,14,jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6
wage_target_3,labor,28,jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6|quits_rate|quits_rate_chg_1|quits_rate_chg_3|quits_rate_chg_6|quits_rate_lag_1|quits_rate_lag_3|quits_rate_lag_6|unemployment_rate|unemployment_rate_chg_1|unemployment_rate_chg_3|unemployment_rate_chg_6|unemployment_rate_lag_1|unemployment_rate_lag_3|unemployment_rate_lag_6
wage_target_3,macro,43,consumer_sentiment|consumer_sentiment_chg_1|consumer_sentiment_chg_3|consumer_sentiment_lag_1|consumer_sentiment_lag_3|fed_funds|fed_funds_chg_1|fed_funds_chg_3|fed_funds_lag_1|fed_funds_lag_3|hy_oas|hy_oas_chg_1|hy_oas_chg_3|hy_oas_lag_1|hy_oas_lag_3|jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6|quits_rate|quits_rate_chg_1|quits_rate_chg_3|quits_rate_chg_6|quits_rate_lag_1|quits_rate_lag_3|quits_rate_lag_6|unemployment_rate|unemployment_rate_chg_1|unemployment_rate_chg_3|unemployment_rate_chg_6|unemployment_rate_lag_1|unemployment_rate_lag_3|unemployment_rate_lag_6
wage_target_3,state,46,consumer_sentiment|consumer_sentiment_chg_1|consumer_sentiment_chg_3|consumer_sentiment_lag_1|consumer_sentiment_lag_3|credit_stress|fed_funds|fed_funds_chg_1|fed_funds_chg_3|fed_funds_lag_1|fed_funds_lag_3|high_inflation|hy_oas|hy_oas_chg_1|hy_oas_chg_3|hy_oas_lag_1|hy_oas_lag_3|jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6|quits_rate|quits_rate_chg_1|quits_rate_chg_3|quits_rate_chg_6|quits_rate_lag_1|quits_rate_lag_3|quits_rate_lag_6|tight_labor|unemployment_rate|unemployment_rate_chg_1|unemployment_rate_chg_3|unemployment_rate_chg_6|unemployment_rate_lag_1|unemployment_rate_lag_3|unemployment_rate_lag_6
wage_target_3,state_interaction,46,consumer_sentiment|consumer_sentiment_chg_1|consumer_sentiment_chg_3|consumer_sentiment_lag_1|consumer_sentiment_lag_3|credit_stress|fed_funds|fed_funds_chg_1|fed_funds_chg_3|fed_funds_lag_1|fed_funds_lag_3|high_inflation|hy_oas|hy_oas_chg_1|hy_oas_chg_3|hy_oas_lag_1|hy_oas_lag_3|jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6|quits_rate|quits_rate_chg_1|quits_rate_chg_3|quits_rate_chg_6|quits_rate_lag_1|quits_rate_lag_3|quits_rate_lag_6|tight_labor|unemployment_rate|unemployment_rate_chg_1|unemployment_rate_chg_3|unemployment_rate_chg_6|unemployment_rate_lag_1|unemployment_rate_lag_3|unemployment_rate_lag_6
wage_target_6,persistence,0,
wage_target_6,tightness_only,2,log_jolts_ratio|jolts_ratio
wage_target_6,tightness,14,jolts_ratio|jolts_ratio_lag_1|jolts_ratio_lag_3|jolts_ratio_lag_6|log_jolts_ratio|log_jolts_ratio_chg_1|log_jolts_ratio_chg_3|log_jolts_ratio_chg_6|log_jolts_ratio_lag_1|log_jolts_ratio_lag_3|log_jolts_ratio_lag_6|log_jolts_ratio_std_12|log_jolts_ratio_std_3|log_jolts_ratio_std_6
