target,target_col,horizon,model,params_json,fold,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.01}",1,0.7971969544282471,0.6461907878732286,-1.0178919209523287,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.01}",2,0.876015555794659,0.7460445282058358,-0.8205068419069206,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.01}",3,0.9391561713403105,0.8393105133951905,-1.2202855790313896,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.01}",4,0.8471340167390465,0.7081088575407621,0.38433402807748906,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.1}",1,0.7781167699214133,0.6525021720614569,-0.9224550335986628,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.1}",2,0.7778039637495034,0.6527611559453642,-0.43518862338030573,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.1}",3,0.904863501694966,0.8027914950147607,-1.0611013455114033,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.1}",4,0.8231711118611634,0.685676262756793,0.41867212219029937,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.5}",1,0.7343374868792237,0.6047533583469343,-0.712213975609679,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.5}",2,0.6363851821538592,0.5111693121360579,0.039253531688722254,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.5}",3,0.8160501632124153,0.7032866276272864,-0.6763585613687624,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 0.5}",4,0.7572873110524045,0.6220272217588053,0.5080032113343411,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 1.0}",1,0.7034874980362712,0.5617123398001731,-0.5713734370400279,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 1.0}",2,0.5966846262525128,0.4661491110300528,0.15538580599619722,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 1.0}",3,0.7627507506386343,0.6389035555254711,-0.46453074148541385,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 1.0}",4,0.7166606474781684,0.5812037191413032,0.5593761271330273,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 2.0}",1,0.677396169391669,0.5337530400580072,-0.45697504294606794,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 2.0}",2,0.57555430825335,0.4430491108416002,0.21414703274432467,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 2.0}",3,0.7099617428090039,0.5734324811290188,-0.2688290067194412,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 2.0}",4,0.6793011236935883,0.5479663534458241,0.6041181654167026,27,2017-02-01,2017-03-01,2019-05-01
