target,target_col,horizon,model,version,params_json,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
CPI,cpi_target_3,3,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",3.748473918003897,2.5208226844255552,0.5547311843077505,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,ElasticNet,Tuned,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",3.519945671662952,2.322779865936042,0.6073684317878043,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,GradientBoosting,Default,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 250, ""subsample"": 0.9}",4.966862280320424,3.4074860739113113,0.2182326470230822,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,GradientBoosting,Tuned,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.9}",3.6686948140303683,2.382464043740363,0.5734828826047843,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Huber,Default,"{""alpha"": 0.0001, ""epsilon"": 1.35}",4.049363043656423,2.6723264435793164,0.480378964897467,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Huber,Tuned,"{""alpha"": 0.001, ""epsilon"": 1.75}",4.274649798201904,2.8377154665930426,0.42095225399474423,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Lasso,Default,"{""alpha"": 0.02}",3.668836431966535,2.45638049537348,0.5734499533791131,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Lasso,Tuned,"{""alpha"": 0.1}",3.3228027071637314,2.1672229373077023,0.650117351768609,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,RandomForest,Default,"{""max_depth"": 4, ""min_samples_leaf"": 5, ""n_estimators"": 400}",3.748296638099449,2.345808824538748,0.5547733002985258,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,RandomForest,Tuned,"{""max_depth"": 2, ""max_features"": 0.75, ""min_samples_leaf"": 4, ""n_estimators"": 200}",3.635778071195678,2.3339796863798346,0.5811022520072644,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Ridge,Default,"{""alpha"": 1.0}",4.091115911475994,2.813335764316292,0.46960812520173734,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_3,3,Ridge,Tuned,"{""alpha"": 10.0}",3.9593390547622787,2.704996573273615,0.5032262018286298,53,2019-12-01,2021-06-01,2025-12-01
CPI,cpi_target_6,6,ElasticNet,Default,"{""alpha"": 0.03, ""l1_ratio"": 0.5}",5.305200602505821,3.9151384973817405,0.15195611418826005,51,2019-12-01,2021-06-01,2025-09-01
