target,target_col,horizon,model,params_json,mean_rmse,mean_mae,mean_oos_r2_vs_persistence,fold_count
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.95}",3.1279357800246115,2.4109182355403465,-0.31190955344387383,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.8}",3.15424143770862,2.4359315120873006,-0.34016053830483256,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.5}",3.203653571849337,2.4890149151738035,-0.3877005498457933,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.2}",3.281562191384001,2.5835673921439035,-0.44373369231398263,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",3.555542728537432,2.85424566979638,-0.931656131940932,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",3.5574502060604463,2.865460690756957,-0.8823734202272533,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",3.5816925881911064,2.8782810196444477,-1.0263885037597662,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.01, ""l1_ratio"": 0.95}",3.6054432208791987,2.899606320579519,-1.1070307806404391,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",3.8015125943083303,3.071820212640643,-1.5664955770388664,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",3.812239165819414,3.0810974452196334,-1.6047862756316582,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",3.8238573957210678,3.091090591100139,-1.6466942278131738,4
CPI,cpi_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.95}",3.8300313745665835,3.096751304006031,-1.6691544667319613,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.9}",2.958443078452076,2.1358515366568036,-0.15228340403721996,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",2.9654226033821924,2.134048381043989,-0.16852741737750632,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}",3.001642477127061,2.198895114738994,-0.17943600913008217,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.9}",3.0437283868499714,2.2394710762669288,-0.21190362247995326,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 200, ""subsample"": 0.9}",3.053077925296837,2.2584476827364606,-0.2432470541487773,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",3.066070552456226,2.259410111775721,-0.24195846410955585,4
CPI,cpi_target_3,3,GradientBoosting,"{""learning_rate"": 0.02, ""max_depth"": 2, ""n_estimators"": 200, ""subsample"": 0.8}",3.096969765534965,2.3114376133060546,-0.2843065671378563,4
