feature,regime,importance
wage_target_6_lag,post,0.6119663201717451
cpi_target_6_lag,post,0.47312906372041175
wage_target_3_lag,post,0.46385763454839235
quits_rate,post,0.2011962554827705
fed_funds,post,0.08978122014311979
log_jolts_ratio,post,0.06217502651350693
log_jolts_ratio_square,post,0.05697989672999213
hy_oas,post,0.05179345716575634
unemployment_rate,post,0.02175647115133797
credit_stress,post,0.0
high_inflation,post,0.0
tight_labor,post,0.0
pce_target_12_lag,pre,0.9432510374258005
pce_target_6_lag,pre,0.876232395886233
cpi_target_6_lag,pre,0.8008569097558186
cpi_target_12_lag,pre,0.7907692739988578
cpi_target_3_lag,pre,0.6718199844861902
pce_target_3_lag,pre,0.5999263286061972
wage_target_6_lag,pre,0.4431644892401332
wage_target_12_lag,pre,0.2789591418024582
wage_target_3_lag,pre,0.1363023078845476
fed_funds,pre,0.13210353998522853
unemployment_rate,pre,0.06378663351755755
hy_oas,pre,0.05130325824639959
log_jolts_ratio,pre,0.04778542826943385
log_jolts_ratio_square,pre,0.042013655446371506
quits_rate,pre,0.03586343532100793
high_inflation,pre,0.006085161585515426
tight_labor,pre,0.0036399785861661147
credit_stress,pre,0.0017209235882932536
