target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,fold_count
CPI,cpi_target_6,6,ElasticNet,post,0.32872323378619595,0.32872323378619595,0.32278704916296336,4,4
CPI,cpi_target_6,6,Persistence,post,0.3745205688668207,0.3745205688668207,0.0,4,4
CPI,cpi_target_6,6,Ridge,post,0.4222207886634856,0.4222207886634856,-1.0231711986278864,4,4
CPI,cpi_target_6,6,Huber,post,0.43621437742727576,0.43621437742727576,-1.7444845686107195,4,4
CPI,cpi_target_6,6,OLS,post,0.5172161640165718,0.5172161640165718,-3.78023229059074,4,4
CPI,cpi_target_6,6,RandomForest,post,1.012870087546597,1.012870087546597,-7.3752061382913165,4,4
CPI,cpi_target_6,6,GradientBoosting,post,1.0355199666762114,1.0355199666762114,-7.742545905311616,4,4
PCE,pce_target_6,6,Huber,post,0.31830585719174964,0.31830585719174964,-0.0419056172314339,3,3
PCE,pce_target_6,6,ElasticNet,post,0.393354018080343,0.393354018080343,-0.25945629617100346,3,3
PCE,pce_target_6,6,Ridge,post,0.4184117461288725,0.4184117461288725,-0.3988207062941485,3,3
PCE,pce_target_6,6,OLS,post,0.42743840608343175,0.42743840608343175,-0.4623196632427975,3,3
PCE,pce_target_6,6,Persistence,post,0.4806364881088025,0.4806364881088025,0.0,3,3
PCE,pce_target_6,6,GradientBoosting,post,1.135094619241229,1.135094619241229,-6.361675438028192,3,3
PCE,pce_target_6,6,RandomForest,post,1.137898897185264,1.137898897185264,-6.5317128367487705,3,3
PCE,pce_target_12,12,Persistence,post,0.6006460731616088,0.5915903207546277,0.0,3,1
PCE,pce_target_12,12,ElasticNet,post,1.1319953125294249,0.9805777718442429,-2.5518283773082255,3,1
PCE,pce_target_12,12,Huber,post,1.2069795519685085,1.034377446522307,-3.037964912422515,3,1
PCE,pce_target_12,12,Ridge,post,1.2249487859539763,1.0138195241783183,-3.1590924958756563,3,1
PCE,pce_target_12,12,GradientBoosting,post,2.9304380736767257,2.9285953469300368,-22.80278710504474,3,1
PCE,pce_target_12,12,RandomForest,post,2.9437463733049767,2.941911982495789,-23.019474109087152,3,1
PCE,pce_target_12,12,OLS,post,13.791974535726345,13.775443155755724,-526.2488109650351,3,1
