target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,train_end,test_start,test_end,fold_id
Wage,wage_target_3,3,Persistence,pre,0.6893322041642227,0.5867693020680242,0.0,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,OLS,pre,0.5198563677113232,0.41410981905114735,0.43126546644508756,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,Ridge,pre,0.5178812147181426,0.41146621337629014,0.43557897982949245,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,ElasticNet,pre,0.5229162155832683,0.41975254266827217,0.42455067849359684,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,Huber,pre,0.5218545593278568,0.419436789311039,0.4268849308296575,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,RandomForest,pre,0.5767199024840752,0.4637083356456081,0.30004077510132354,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,GradientBoosting,pre,0.4960719752306311,0.38290981996460344,0.482116291400409,14,2012-09-01,2012-10-01,2014-05-01,1
Wage,wage_target_3,3,Persistence,pre,0.5156144074705796,0.40325877456952597,0.0,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,OLS,pre,0.41027035808534545,0.35352096851329623,0.3668739356572134,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,Ridge,pre,0.4088742366863242,0.350093556990091,0.3711755717312666,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,ElasticNet,pre,0.4081625110126129,0.34109092678756664,0.3733628504840034,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,Huber,pre,0.40730893501738547,0.3299082853592669,0.37598103869905475,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,RandomForest,pre,0.45832249806862696,0.3035060627492673,0.2098814381021491,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,GradientBoosting,pre,0.5174353341005337,0.4559607796565443,-0.0070756052017793,14,2014-05-01,2014-06-01,2017-06-01,2
Wage,wage_target_3,3,Persistence,post,0.2969980257351617,0.2784802434205427,0.0,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,OLS,post,0.2786797961863175,0.2773760299375374,0.11955173154187893,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,Ridge,post,0.3303641495876614,0.2870882844203335,-0.23731050503303242,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,ElasticNet,post,0.3209949946833121,0.28631606506735463,-0.1681252081212854,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,Huber,post,0.4715613259886948,0.39889685233781713,-1.5209790445881919,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,RandomForest,post,0.4441218981566874,0.3459667822880317,-1.2361310382639359,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,GradientBoosting,post,0.45205661521858415,0.35609540489497804,-1.3167465931302682,2,2024-03-01,2024-06-01,2024-07-01,1
Wage,wage_target_3,3,Persistence,post,0.4431484507225595,0.4375904352424518,0.0,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,OLS,post,0.45301254080593345,0.41064759902722403,-0.045013687850706585,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,Ridge,post,0.3389163229158129,0.33206022482579534,0.41509342802685056,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,ElasticNet,post,0.3640772219885995,0.3537673499815581,0.32502366455892395,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,Huber,post,0.6382407592597895,0.5901221902618368,-1.0742953824659796,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,RandomForest,post,0.4522549067830337,0.4468101837997922,-0.04152117588712345,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,GradientBoosting,post,0.45637509112435876,0.4509801142363601,-0.06058479039119491,2,2024-07-01,2024-09-01,2024-11-01,2
Wage,wage_target_3,3,Persistence,post,0.621088361272558,0.45671077915487857,0.0,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,OLS,post,0.7974123408366512,0.7545428034336368,-0.6483867813194197,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,Ridge,post,0.7110699548461192,0.6524436297869287,-0.31074399050996737,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,ElasticNet,post,0.7468049842276693,0.6995616894529533,-0.44579804664253597,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,Huber,post,0.8385838969583358,0.8035769534307784,-0.8229982642038345,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,RandomForest,post,0.4571363020154062,0.45671077915487857,0.4582678134481113,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,GradientBoosting,post,0.46338076047119814,0.45671077915487857,0.4433666615587897,2,2024-11-01,2024-12-01,2025-02-01,3
Wage,wage_target_3,3,Persistence,post,0.209906156928504,0.16848998939460458,0.0,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,OLS,post,0.613767769481231,0.5878731017813692,-7.549836362352744,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,Ridge,post,0.5571320690987689,0.5295434696415766,-6.044756077749468,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,ElasticNet,post,0.531337761372141,0.5009540199005538,-5.407535315320514,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,Huber,post,0.5890306678623115,0.5633675373124092,-6.874544815266418,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,RandomForest,post,0.7177027943668733,0.6971434713872835,-10.690657022593381,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_3,3,GradientBoosting,post,0.7565588419610214,0.6910116864424878,-11.990775204746278,2,2025-02-01,2025-06-01,2025-09-01,4
Wage,wage_target_6,6,Persistence,pre,0.33094166913044615,0.2508769411019397,0.0,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,OLS,pre,0.1992235200163553,0.1741824694712138,0.6376082413874571,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,Ridge,pre,0.20164791790146142,0.17506164798734156,0.6287345135517189,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,ElasticNet,pre,0.20880855636980852,0.17736802507257252,0.6018986267245952,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,Huber,pre,0.1952795617841522,0.17494188351973053,0.651814502776545,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,RandomForest,pre,0.23469880036383786,0.18650752018178726,0.4970569240352748,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,GradientBoosting,pre,0.4010748027383243,0.32184007196247094,-0.46874990392632054,11,2015-11-01,2016-01-01,2018-04-01,1
Wage,wage_target_6,6,Persistence,post,0.6200886599950558,0.4799015180356745,0.0,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,OLS,post,0.8646334957481041,0.6727945718929964,-0.9442698147393052,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,Ridge,post,0.6583407623676432,0.5031747445461934,-0.12718165971182094,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,ElasticNet,post,0.7458962690573671,0.5902637965225976,-0.4469358975320423,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,Huber,post,0.9844119733134828,0.7992362904635859,-1.520264931096552,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,RandomForest,post,0.7864062124163036,0.6813444442317242,-0.6083712188752692,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,GradientBoosting,post,0.7912800661303176,0.6869640920846452,-0.6283691726425167,2,2022-12-01,2023-02-01,2023-07-01,1
Wage,wage_target_6,6,Persistence,post,0.5331884359956064,0.5331395222247788,0.0,2,2023-07-01,2023-11-01,2023-12-01,2
