target,target_col,horizon,signal,regime,rmse,mae,oos_r2
CPI,cpi_target_6,6,fed_funds,post,0.2750249965440366,0.2750249965440366,0.3589728012115444
CPI,cpi_target_6,6,jolts,post,0.5172161640165718,0.5172161640165718,-3.78023229059074
CPI,cpi_target_6,6,lagged_target,post,0.2516825379219047,0.2516825379219047,0.5642022604600979
CPI,cpi_target_6,6,quits,post,0.32345241358295884,0.32345241358295884,0.027200888934807155
CPI,cpi_target_6,6,unemployment,post,0.2845468294021737,0.2845468294021737,0.302360906563826
PCE,pce_target_6,6,fed_funds,post,0.3340289637388694,0.3340289637388694,-0.01624561520337131
PCE,pce_target_6,6,jolts,post,0.42743840608343175,0.42743840608343175,-0.4623196632427975
PCE,pce_target_6,6,lagged_target,post,0.21127047603060856,0.21127047603060856,0.5500628272458218
PCE,pce_target_6,6,quits,post,0.3677447407643206,0.3677447407643206,-0.3231616957769544
PCE,pce_target_6,6,unemployment,post,0.41547699734761245,0.41547699734761245,-1.3949217018913715
PCE,pce_target_12,12,fed_funds,post,84.65446553082616,83.93503733066707,-19862.805768873674
PCE,pce_target_12,12,jolts,post,13.791974535726345,13.775443155755724,-526.2488109650351
PCE,pce_target_12,12,lagged_target,post,1.7971322346948329,1.7934686635110104,-7.952055868476231
PCE,pce_target_12,12,quits,post,101.58821086086428,100.77424151682128,-28604.486558643755
PCE,pce_target_12,12,unemployment,post,5.856208521579343,5.8554824716324,-94.05955571144284
Wage,wage_target_3,3,fed_funds,post,0.5038317805428232,0.45524429672098304,-1.5227323937501065
Wage,wage_target_3,3,fed_funds,pre,0.5500045488566633,0.41343891414925044,0.1169580624445617
Wage,wage_target_3,3,jolts,post,0.5357181118275333,0.5076098835449419,-2.030921274995248
Wage,wage_target_3,3,jolts,pre,0.4650633628983343,0.3838153937822218,0.39906970105115047
Wage,wage_target_3,3,lagged_target,post,0.5001262351979912,0.45699085358741,-2.3092435825725173
Wage,wage_target_3,3,lagged_target,pre,0.5423142079020262,0.41421529439361254,0.164518115944989
Wage,wage_target_3,3,quits,post,0.712227459699804,0.6693742785306369,-3.814991069306054
Wage,wage_target_3,3,quits,pre,0.4579174742745018,0.364663746331265,0.4257340628486904
Wage,wage_target_3,3,unemployment,post,0.5459927947329427,0.49808170559710996,-1.7056510501415738
Wage,wage_target_3,3,unemployment,pre,0.4730581404339115,0.39048828327125995,0.38201928941299845
Wage,wage_target_6,6,fed_funds,post,0.40401691414304974,0.34006941409771074,0.04768899394901902
Wage,wage_target_6,6,fed_funds,pre,0.345925794875589,0.3055299232541795,-0.09260451077354892
Wage,wage_target_6,6,jolts,post,0.39873883403543026,0.34177315293574917,0.10540137070734582
Wage,wage_target_6,6,jolts,pre,0.1992235200163553,0.1741824694712138,0.6376082413874571
Wage,wage_target_6,6,lagged_target,post,0.2619857968298761,0.22625916226501913,0.6246911400618999
Wage,wage_target_6,6,lagged_target,pre,0.325057694075152,0.2873720335321821,0.03524287542435511
Wage,wage_target_6,6,quits,post,0.3702706801650118,0.32161795547177996,0.36859476818985315
Wage,wage_target_6,6,quits,pre,0.18752781071618074,0.16167685636647838,0.6789087572285881
Wage,wage_target_6,6,unemployment,post,0.41181596063452935,0.34157833200011817,-0.014600203609637364
Wage,wage_target_6,6,unemployment,pre,0.21451376740594216,0.1791632408762457,0.5798470331695165
Wage,wage_target_12,12,fed_funds,post,1.9011710846229641,1.8929947399926441,-89.52198349993104
Wage,wage_target_12,12,jolts,post,0.6438251201386717,0.6184873452569735,-9.381198514359486
Wage,wage_target_12,12,lagged_target,post,0.2499354562841613,0.21591475439640878,-0.5644705826600613
Wage,wage_target_12,12,quits,post,1.1150017410986017,1.1087036353523296,-30.135995218056078
Wage,wage_target_12,12,unemployment,post,0.3019450727263025,0.2794208714293962,-1.2833240695691965
